# Characters restricted in domain names
# $Revision: 1.32 $
# $Date: 2010-06-19 00:29:21 $
#
# This file contains a draft list of characters for use in
#     UTR #36: Unicode Security Considerations
#     http://unicode.org/draft/reports/tr36/tr36.html
# According to the recommendations in that document, these characters
# would be restricted in domain names: people would only be able to use them
# by using lenient security settings.
#
# If you have any feedback on this list, please use the submission form at:
#     http://unicode.org/reporting.html.
#
# Notes:
# - Characters are listed along with a reason for their removal.
# - Characters listed as ~IDNA are excluded at this point in domain names,
#   in many cases because the international domain name specification does not contain
#   characters beyond Unicode 3.2. At this point in time, feedback on those characters
#   is not relevant.
# - Characters listed as ~Unicode Identifiers are restricted because they
#   do not fit the specification of identifiers given in
#      UAX #31: Identifier and Pattern Syntax
#      http://unicode.org/reports/tr31/
# - Characters listed as ~IICore are restricted because they are Ideographic,
#   but not part of the IICore set defined by the IRG as the minimal set
#   of required ideographs for East Asian use.
# - The files in this directory are 'live', and may change at any time.
#   Please include the above Revision number in your feedback.

0155          ; allowed ; recommended #      (ŕ)  LATIN SMALL LETTER R WITH ACUTE
0156          ; allowed ; recommended #      (Ŗ)  LATIN CAPITAL LETTER R WITH CEDILLA
0157          ; allowed ; recommended #      (ŗ)  LATIN SMALL LETTER R WITH CEDILLA
0158          ; allowed ; recommended #      (Ř)  LATIN CAPITAL LETTER R WITH CARON
0159          ; allowed ; recommended #      (ř)  LATIN SMALL LETTER R WITH CARON
015A          ; allowed ; recommended #      (Ś)  LATIN CAPITAL LETTER S WITH ACUTE
015B          ; allowed ; recommended #      (ś)  LATIN SMALL LETTER S WITH ACUTE
015C          ; allowed ; recommended #      (Ŝ)  LATIN CAPITAL LETTER S WITH CIRCUMFLEX
015D          ; allowed ; recommended #      (ŝ)  LATIN SMALL LETTER S WITH CIRCUMFLEX
015E          ; allowed ; recommended #      (Ş)  LATIN CAPITAL LETTER S WITH CEDILLA
015F          ; allowed ; recommended #      (ş)  LATIN SMALL LETTER S WITH CEDILLA
0160          ; allowed ; recommended #      (Š)  LATIN CAPITAL LETTER S WITH CARON
0161          ; allowed ; recommended #      (š)  LATIN SMALL LETTER S WITH CARON
