#Code	Version	Default	Labels	Char	Names
U+26FD	V5.2	emoji	transport	⛽	FUEL PUMP
U+26FE	V5.2	text		⛾	CUP ON BLACK SQUARE
U+26FF	V5.2	text	flags	⛿	WHITE FLAG WITH HORIZONTAL MIDDLE BLACK STRIPE
U+2757	V5.2	emoji		❗	HEAVY EXCLAMATION MARK SYMBOL
U+2B55	V5.2	emoji		⭕	HEAVY LARGE CIRCLE
U+1F17F	V5.2	text		🅿	NEGATIVE SQUARED LATIN CAPITAL LETTER P
U+1F21A	V5.2	emoji		🈚	SQUARED CJK UNIFIED IDEOGRAPH-7121
U+1F22F	V5.2	emoji		🈯	SQUARED CJK UNIFIED IDEOGRAPH-6307
U+23E9	V6.0	emoji		⏩	BLACK RIGHT-POINTING DOUBLE TRIANGLE
U+23EA	V6.0	emoji		⏪	BLACK LEFT-POINTING DOUBLE TRIANGLE
U+23EB	V6.0	emoji		⏫	BLACK UP-POINTING DOUBLE TRIANGLE
U+23EC	V6.0	emoji		⏬	BLACK DOWN-POINTING DOUBLE TRIANGLE
U+23ED	V6.0	text		⏭	BLACK RIGHT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
U+23EE	V6.0	text		⏮	BLACK LEFT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
U+23EF	V6.0	text		⏯	BLACK RIGHT-POINTING TRIANGLE WITH DOUBLE VERTICAL BAR
U+23F0	V6.0	emoji	time	⏰	ALARM CLOCK
U+23F1	V6.0	text	time	⏱	STOPWATCH
U+23F2	V6.0	text	time	⏲	TIMER CLOCK
U+23F3	V6.0	emoji	time	⏳	HOURGLASS WITH FLOWING SAND
U+26CE	V6.0	emoji		⛎	OPHIUCHUS
U+26E4	V6.0	text		⛤	PENTAGRAM
U+26E5	V6.0	text		⛥	RIGHT-HANDED INTERLACED PENTAGRAM
U+26E6	V6.0	text		⛦	LEFT-HANDED INTERLACED PENTAGRAM
U+26E7	V6.0	text		⛧	INVERTED PENTAGRAM
U+2705	V6.0	emoji		✅	WHITE HEAVY CHECK MARK
U+270A	V6.0	emoji	people hands	✊	RAISED FIST
U+270B	V6.0	emoji	people hands	✋	RAISED HAND
U+2728	V6.0	emoji		✨	SPARKLES
U+274C	V6.0	emoji		❌	CROSS MARK
U+274E	V6.0	emoji		❎	NEGATIVE SQUARED CROSS MARK
U+2753	V6.0	emoji		❓	BLACK QUESTION MARK ORNAMENT
U+2754	V6.0	emoji		❔	WHITE QUESTION MARK ORNAMENT
U+2755	V6.0	emoji		❕	WHITE EXCLAMATION MARK ORNAMENT
U+27BF	V6.0	text		➿	DOUBLE CURLY LOOP
U+1F0A0	V6.0	text	games	🂠	PLAYING CARD BACK
U+1F0A1	V6.0	text	games	🂡	PLAYING CARD ACE OF SPADES
U+1F0A2	V6.0	text	games	🂢	PLAYING CARD TWO OF SPADES
U+1F0A3	V6.0	text	games	🂣	PLAYING CARD THREE OF SPADES
U+1F0A4	V6.0	text	games	🂤	PLAYING CARD FOUR OF SPADES
U+1F0A5	V6.0	text	games	🂥	PLAYING CARD FIVE OF SPADES
U+1F0A6	V6.0	text	games	🂦	PLAYING CARD SIX OF SPADES
U+1F0A7	V6.0	text	games	🂧	PLAYING CARD SEVEN OF SPADES
U+1F0A8	V6.0	text	games	🂨	PLAYING CARD EIGHT OF SPADES
U+1F0A9	V6.0	text	games	🂩	PLAYING CARD NINE OF SPADES
U+1F0AA	V6.0	text	games	🂪	PLAYING CARD TEN OF SPADES
U+1F0AB	V6.0	text	games	🂫	PLAYING CARD JACK OF SPADES
U+1F0AC	V6.0	text	games	🂬	PLAYING CARD KNIGHT OF SPADES
U+1F0AD	V6.0	text	games	🂭	PLAYING CARD QUEEN OF SPADES
U+1F0AE	V6.0	text	games	🂮	PLAYING CARD KING OF SPADES
U+1F0B1	V6.0	text	games	🂱	PLAYING CARD ACE OF HEARTS
U+1F0B2	V6.0	text	games	🂲	PLAYING CARD TWO OF HEARTS
U+1F0B3	V6.0	text	games	🂳	PLAYING CARD THREE OF HEARTS
U+1F0B4	V6.0	text	games	🂴	PLAYING CARD FOUR OF HEARTS
U+1F0B5	V6.0	text	games	🂵	PLAYING CARD FIVE OF HEARTS
U+1F0B6	V6.0	text	games	🂶	PLAYING CARD SIX OF HEARTS
U+1F0B7	V6.0	text	games	🂷	PLAYING CARD SEVEN OF HEARTS
U+1F0B8	V6.0	text	games	🂸	PLAYING CARD EIGHT OF HEARTS
U+1F0B9	V6.0	text	games	🂹	PLAYING CARD NINE OF HEARTS
U+1F0BA	V6.0	text	games	🂺	PLAYING CARD TEN OF HEARTS
U+1F0BB	V6.0	text	games	🂻	PLAYING CARD JACK OF HEARTS
U+1F0BC	V6.0	text	games	🂼	PLAYING CARD KNIGHT OF HEARTS
U+1F0BD	V6.0	text	games	🂽	PLAYING CARD QUEEN OF HEARTS
U+1F0BE	V6.0	text	games	🂾	PLAYING CARD KING OF HEARTS
U+1F0C1	V6.0	text	games	🃁	PLAYING CARD ACE OF DIAMONDS
U+1F0C2	V6.0	text	games	🃂	PLAYING CARD TWO OF DIAMONDS
U+1F0C3	V6.0	text	games	🃃	PLAYING CARD THREE OF DIAMONDS
U+1F0C4	V6.0	text	games	🃄	PLAYING CARD FOUR OF DIAMONDS
U+1F0C5	V6.0	text	games	🃅	PLAYING CARD FIVE OF DIAMONDS
U+1F0C6	V6.0	text	games	🃆	PLAYING CARD SIX OF DIAMONDS
U+1F0C7	V6.0	text	games	🃇	PLAYING CARD SEVEN OF DIAMONDS
U+1F0C8	V6.0	text	games	🃈	PLAYING CARD EIGHT OF DIAMONDS
U+1F0C9	V6.0	text	games	🃉	PLAYING CARD NINE OF DIAMONDS
U+1F0CA	V6.0	text	games	🃊	PLAYING CARD TEN OF DIAMONDS
U+1F0CB	V6.0	text	games	🃋	PLAYING CARD JACK OF DIAMONDS
U+1F0CC	V6.0	text	games	🃌	PLAYING CARD KNIGHT OF DIAMONDS
U+1F0CD	V6.0	text	games	🃍	PLAYING CARD QUEEN OF DIAMONDS
U+1F0CE	V6.0	text	games	🃎	PLAYING CARD KING OF DIAMONDS
U+1F0CF	V6.0	emoji	games	🃏	PLAYING CARD BLACK JOKER
U+1F0D1	V6.0	text	games	🃑	PLAYING CARD ACE OF CLUBS
U+1F0D2	V6.0	text	games	🃒	PLAYING CARD TWO OF CLUBS
U+1F0D3	V6.0	text	games	🃓	PLAYING CARD THREE OF CLUBS
U+1F0D4	V6.0	text	games	🃔	PLAYING CARD FOUR OF CLUBS
U+1F0D5	V6.0	text	games	🃕	PLAYING CARD FIVE OF CLUBS
U+1F0D6	V6.0	text	games	🃖	PLAYING CARD SIX OF CLUBS
U+1F0D7	V6.0	text	games	🃗	PLAYING CARD SEVEN OF CLUBS
U+1F0D8	V6.0	text	games	🃘	PLAYING CARD EIGHT OF CLUBS
U+1F0D9	V6.0	text	games	🃙	PLAYING CARD NINE OF CLUBS
U+1F0DA	V6.0	text	games	🃚	PLAYING CARD TEN OF CLUBS
U+1F0DB	V6.0	text	games	🃛	PLAYING CARD JACK OF CLUBS
U+1F0DC	V6.0	text	games	🃜	PLAYING CARD KNIGHT OF CLUBS
U+1F0DD	V6.0	text	games	🃝	PLAYING CARD QUEEN OF CLUBS
U+1F0DE	V6.0	text	games	🃞	PLAYING CARD KING OF CLUBS
U+1F0DF	V6.0	text	games	🃟	PLAYING CARD WHITE JOKER
U+1F170	V6.0	text		🅰	NEGATIVE SQUARED LATIN CAPITAL LETTER A
U+1F171	V6.0	text		🅱	NEGATIVE SQUARED LATIN CAPITAL LETTER B
U+1F17E	V6.0	text		🅾	NEGATIVE SQUARED LATIN CAPITAL LETTER O
U+1F18E	V6.0	emoji		🆎	NEGATIVE SQUARED AB
U+1F191	V6.0	emoji		🆑	SQUARED CL
U+1F192	V6.0	emoji		🆒	SQUARED COOL
U+1F193	V6.0	emoji		🆓	SQUARED FREE
U+1F194	V6.0	emoji		🆔	SQUARED ID
U+1F195	V6.0	emoji		🆕	SQUARED NEW
U+1F196	V6.0	emoji		🆖	SQUARED NG
U+1F197	V6.0	emoji		🆗	SQUARED OK
U+1F198	V6.0	emoji		🆘	SQUARED SOS
U+1F199	V6.0	emoji		🆙	SQUARED UP WITH EXCLAMATION MARK
U+1F19A	V6.0	emoji		🆚	SQUARED VS
U+1F201	V6.0	emoji		🈁	SQUARED KATAKANA KOKO
U+1F202	V6.0	text		🈂	SQUARED KATAKANA SA
U+1F232	V6.0	emoji		🈲	SQUARED CJK UNIFIED IDEOGRAPH-7981
U+1F233	V6.0	emoji		🈳	SQUARED CJK UNIFIED IDEOGRAPH-7A7A
U+1F234	V6.0	emoji		🈴	SQUARED CJK UNIFIED IDEOGRAPH-5408
U+1F235	V6.0	emoji		🈵	SQUARED CJK UNIFIED IDEOGRAPH-6E80
U+1F236	V6.0	emoji		🈶	SQUARED CJK UNIFIED IDEOGRAPH-6709
U+1F237	V6.0	text		🈷	SQUARED CJK UNIFIED IDEOGRAPH-6708
U+1F238	V6.0	emoji		🈸	SQUARED CJK UNIFIED IDEOGRAPH-7533
U+1F239	V6.0	emoji		🈹	SQUARED CJK UNIFIED IDEOGRAPH-5272
U+1F23A	V6.0	emoji		🈺	SQUARED CJK UNIFIED IDEOGRAPH-55B6
U+1F250	V6.0	emoji		🉐	CIRCLED IDEOGRAPH ADVANTAGE
U+1F251	V6.0	emoji		🉑	CIRCLED IDEOGRAPH ACCEPT
U+1F300	V6.0	emoji	weather	🌀	CYCLONE
U+1F301	V6.0	emoji	weather	🌁	FOGGY
U+1F302	V6.0	emoji	weather	🌂	CLOSED UMBRELLA
U+1F303	V6.0	emoji	weather	🌃	NIGHT WITH STARS
U+1F304	V6.0	emoji	weather	🌄	SUNRISE OVER MOUNTAINS
U+1F305	V6.0	emoji	weather	🌅	SUNRISE
U+1F306	V6.0	emoji	weather	🌆	CITYSCAPE AT DUSK
U+1F307	V6.0	emoji	weather	🌇	SUNSET OVER BUILDINGS
U+1F308	V6.0	emoji	weather	🌈	RAINBOW
U+1F309	V6.0	emoji		🌉	BRIDGE AT NIGHT
U+1F30A	V6.0	emoji		🌊	WATER WAVE
U+1F30B	V6.0	emoji		🌋	VOLCANO
U+1F30C	V6.0	emoji	astronomy	🌌	MILKY WAY
U+1F30D	V6.0	emoji	astronomy	🌍	EARTH GLOBE EUROPE-AFRICA
