% compkeys-2.1.9d8.txt
% Created: 2000-Apr-18
% Posted:  2000-Apr-18
% Derived from: unidata-2.1.9d8.txt
% Sifter version: 2.1.9d7, 2000-Jan-11

@version 2.1.9d8

32CA ; [.06BA.0020.0004.32CA] [.06BA.0020.0004.32CA] [.6708.0020.0004.32CA] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR NOVEMBER; COMPATSEQ
32CB ; [.06BA.0020.0004.32CB] [.06BB.0020.0004.32CB] [.6708.0020.0004.32CB] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DECEMBER; COMPATSEQ
3359 ; [.06BA.0020.0004.3359] [.70B9.0020.0004.3359] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ONE; COMPATSEQ
3362 ; [.06BA.0020.0004.3362] [.06B9.0020.0004.3362] [.70B9.0020.0004.3362] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TEN; COMPATSEQ
3363 ; [.06BA.0020.0004.3363] [.06BA.0020.0004.3363] [.70B9.0020.0004.3363] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ELEVEN; COMPATSEQ
3364 ; [.06BA.0020.0004.3364] [.06BB.0020.0004.3364] [.70B9.0020.0004.3364] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWELVE; COMPATSEQ
3365 ; [.06BA.0020.0004.3365] [.06BC.0020.0004.3365] [.70B9.0020.0004.3365] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THIRTEEN; COMPATSEQ
3366 ; [.06BA.0020.0004.3366] [.06BD.0020.0004.3366] [.70B9.0020.0004.3366] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FOURTEEN; COMPATSEQ
3367 ; [.06BA.0020.0004.3367] [.06BE.0020.0004.3367] [.70B9.0020.0004.3367] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIFTEEN; COMPATSEQ
3368 ; [.06BA.0020.0004.3368] [.06BF.0020.0004.3368] [.70B9.0020.0004.3368] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIXTEEN; COMPATSEQ
3369 ; [.06BA.0020.0004.3369] [.06C0.0020.0004.3369] [.70B9.0020.0004.3369] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SEVENTEEN; COMPATSEQ
336A ; [.06BA.0020.0004.336A] [.06C1.0020.0004.336A] [.70B9.0020.0004.336A] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR EIGHTEEN; COMPATSEQ
336B ; [.06BA.0020.0004.336B] [.06C2.0020.0004.336B] [.70B9.0020.0004.336B] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR NINETEEN; COMPATSEQ
33E0 ; [.06BA.0020.0004.33E0] [.65E5.0020.0004.33E0] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY ONE; COMPATSEQ
33E9 ; [.06BA.0020.0004.33E9] [.06B9.0020.0004.33E9] [.65E5.0020.0004.33E9] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TEN; COMPATSEQ
33EA ; [.06BA.0020.0004.33EA] [.06BA.0020.0004.33EA] [.65E5.0020.0004.33EA] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY ELEVEN; COMPATSEQ
33EB ; [.06BA.0020.0004.33EB] [.06BB.0020.0004.33EB] [.65E5.0020.0004.33EB] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWELVE; COMPATSEQ
33EC ; [.06BA.0020.0004.33EC] [.06BC.0020.0004.33EC] [.65E5.0020.0004.33EC] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTEEN; COMPATSEQ
33ED ; [.06BA.0020.0004.33ED] [.06BD.0020.0004.33ED] [.65E5.0020.0004.33ED] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOURTEEN; COMPATSEQ
33EE ; [.06BA.0020.0004.33EE] [.06BE.0020.0004.33EE] [.65E5.0020.0004.33EE] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIFTEEN; COMPATSEQ
33EF ; [.06BA.0020.0004.33EF] [.06BF.0020.0004.33EF] [.65E5.0020.0004.33EF] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIXTEEN; COMPATSEQ
33F0 ; [.06BA.0020.0004.33F0] [.06C0.0020.0004.33F0] [.65E5.0020.0004.33F0] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVENTEEN; COMPATSEQ
