5C51	xiè(10)
5C55	zhǎn(1433) zhan(16)
5C5C	ti(17)
5C5E	shǔ(369)
5C60	tú(15)
5C64	céng(488)
5C6C	shǔ(369)
5C71	shān(1704)
5C79	yì(18)
5C7F	yǔ(30)
5C81	suì(519)
5C82	qǐ(51)
5C96	qū(13)
5C97	gǎng(59) gāng(11)
5C9B	dǎo(190)
5CA1	gāng(37)
5CA9	yán(70)
5CAD	lǐng(70)
5CB8	àn(343)
5CE1	xiá(97)
5CE6	luán(13)
5CE8	é(12)
5CED	qiào(12)
5CF0	fēng(94)
5CF6	dǎo(190)
5CFB	jùn(12)
5CFD	xiá(97)
5D07	chóng(55)
5D0E	qí(13)
5D16	yá(43)
5D17	gǎng(59) gāng(11)
5D29	bēng(19)
5D2D	zhǎn(34)
5D3D	zǎi(10)
5D4C	qiàn(17)
5D84	zhǎn(34)
5D87	qū(13)
5DBA	lǐng(70)
5DBC	yǔ(30)
5DCD	wēi(12)
5DD2	luán(13)
5DDE	zhōu(30)
5DE1	xún(12)
5DE2	cháo(28)
5DE5	gōng(5185)
5DE6	zuǒ(546)
5DE7	qiǎo(147)
5DE8	jù(332)
5DE9	gǒng(125)
5DEE	chà(241) chā(60) chāi(26)
5DF1	jǐ(2585)
5DF2	yǐ(2107)
5DF4	ba(207) bā(14)
5DF7	xiàng(37)
5DFE	jīn(86)
5E01	bì(58)
5E02	shì(690)
5E03	bù(744)
5E05	shuài(11)
5E06	fān(22)
5E08	shī(1142)
5E0C	xī(321)
5E10	zhàng(172)
5E15	pà(13)
5E18	lián(53)
5E1A	zhou(13)
5E1C	zhì(51)
5E1D	dì(606)
5E25	shuài(11)
5E26	dài(1348)
5E2B	shī(1142)
5E2D	xí(804)
5E2E	bāng(598)
5E33	zhàng(172)
5E36	dài(1348)
5E38	cháng(1760)
5E3D	mào(188)
5E45	fú(122)
5E55	mù(137)
5E5F	zhì(51)
5E63	bì(58)
5E6B	bāng(598)
5E72	gàn(1464) gān(482)
5E73	píng(1484)
5E74	nián(5553)
5E76	bìng(1420)
5E78	xìng(257)
5E7B	huàn(62)
5E7C	yòu(66)
5E7E	jǐ(2512)
5E7F	guǎng(628)
5E84	zhuāng(337)
5E86	qìng(51)
5E8A	chuáng(379)
5E8F	xù(131)
5E93	kù(91)
5E94	yīng(1045) yìng(400) ying(213)
5E95	dǐ(788)
5E97	diàn(300)
5E99	miào(55)
5E9C	fǔ(432)
5E9E	páng(19)
5E9F	fèi(111)
5EA6	dù(1505) du(331)
5EA7	zuò(396)
5EAB	kù(91)
5EAD	tíng(137)
5EB7	kāng(78)
5EB8	yōng(9)
5EC1	cè(10)
5EC2	xiāng(18)
5EC8	shà(17)
5EC9	lián(13)
5ED3	kuò(22)
5EDA	chú(48)
5EDF	miào(55)
5EE0	chǎng(731)
5EE2	fèi(111)
5EE3	guǎng(628)
5EF3	tīng(59)
5EF6	yán(55)
5EFA	jiàn(1732)
5EFF	niàn(10)
5F00	kāi(3483)
5F02	yì(146)
5F03	qì(51)
5F04	nòng(319)
5F0F	shì(567) shi(10)
5F13	gōng(36)
5F15	yǐn(498)
5F1F	dì(248) di(200)
5F20	zhāng(785)
5F25	mí(25)
5F26	xián(16)
5F2F	wān(161)
5F31	ruò(193)
5F35	zhāng(785)
5F37	qiáng(975) qiǎng(88)
5F39	dàn(313) tán(50) tan(13)
5F3A	qiáng(975) qiǎng(88)
5F48	dàn(313) tán(50) tan(13)
5F4C	mí(25)
5F4E	wān(161)
