# From state ; class name or eot ; to state
START ; CM ; CM
HL HH CM ; IN_EastAsian ; CJ
HL HH CM ; PO_EastAsian ; PO_EastAsian
HL HH CM ; AP ; AP
HL HH CM ; GL_EastAsian ; GL_EastAsian
HL HH CM ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
HL HH CM ; RI ; RI
HL HH CM ; EM ; ID_EastAsian
HL HH CM ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
HL HH CM ; SAmMnmMc ; ALmEastAsianmDottedCircle
HL HH CM ; SA_Mn|SA_Mc ; HL HH CM
HL HH ZWJ ; CM ; HL HH CM
HL HH ZWJ ; BAmEastAsian ; BAmEastAsian
HL HH ZWJ ; LF ; LF
HL HH ZWJ ; BK|NL ; LF
HL HH ZWJ ; CR ; CR
HL HH ZWJ ; SP ; SP
HL HH ZWJ ; EXmEastAsian ; EXmEastAsian
HL HH ZWJ ; QUmPimPf ; QUmPimPf
HL HH ZWJ ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
HL HH ZWJ ; PRmEastAsian ; PRmEastAsian
HL HH ZWJ ; POmEastAsian ; POmEastAsian
HL HH ZWJ ; OPmEastAsian ; OPmEastAsian
HL HH ZWJ ; CP ; CP
HL HH ZWJ ; IS ; IS
HL HH ZWJ ; HY ; CM HY
HL HH ZWJ ; SY ; SY
HL HH ZWJ ; NU ; NU
HL HH ZWJ ; CLmEastAsian ; CLmEastAsian
HL HH ZWJ ; GLmEastAsian ; GLmEastAsian
HL HH ZWJ ; QU_Pi ; QUmPimPf
HL HH ZWJ ; BB ; BB
HL HH ZWJ ; QU_Pf ; BAmEastAsian CM QU_Pf
HL HH ZWJ ; HH ; BAmEastAsian
HL HH ZWJ ; HL ; HL
HL HH ZWJ ; JL ; JL
HL HH ZWJ ; JV ; JV
HL HH ZWJ ; JT ; JT
HL HH ZWJ ; NSmEastAsian ; EXmEastAsian
HL HH ZWJ ; AK ; AK
HL HH ZWJ ; VI ; EXmEastAsian
HL HH ZWJ ; AS ; AK
HL HH ZWJ ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
HL HH ZWJ ; VF ; EXmEastAsian
HL HH ZWJ ; ZW ; ZW
HL HH ZWJ ; ZWJ ; HL HH ZWJ
HL HH ZWJ ; B2 ; B2
HL HH ZWJ ; INmEastAsian ; EXmEastAsian
HL HH ZWJ ; WJ ; WJ
HL HH ZWJ ; PR_EastAsian ; PR_EastAsian
HL HH ZWJ ; ID_EastAsian ; ID_EastAsian
HL HH ZWJ ; OP_EastAsian ; OP_EastAsian
HL HH ZWJ ; CL_EastAsian ; CL_EastAsian
HL HH ZWJ ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
HL HH ZWJ ; AL_DottedCircle ; AL_DottedCircle
HL HH ZWJ ; EBmEastAsian ; EBmEastAsian
HL HH ZWJ ; EB_EastAsian ; EB_EastAsian
HL HH ZWJ ; BA_EastAsian ; BA_EastAsian
HL HH ZWJ ; NS_EastAsian|CJ ; CJ
HL HH ZWJ ; H2 ; H2
HL HH ZWJ ; H3 ; H3
HL HH ZWJ ; EX_EastAsian ; CJ
HL HH ZWJ ; IN_EastAsian ; CJ
HL HH ZWJ ; PO_EastAsian ; PO_EastAsian
HL HH ZWJ ; CB ; CB
HL HH ZWJ ; AP ; AP
HL HH ZWJ ; GL_EastAsian ; GL_EastAsian
HL HH ZWJ ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
HL HH ZWJ ; RI ; RI
HL HH ZWJ ; EM ; ID_EastAsian
HL HH ZWJ ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
HL HH ZWJ ; SAmMnmMc ; ALmEastAsianmDottedCircle
HL HH ZWJ ; SA_Mn|SA_Mc ; HL HH CM
JL CM QU_Pi ; CM ; JL CM QU_Pi CM
JL CM QU_Pi ; BAmEastAsian ; BAmEastAsian
JL CM QU_Pi ; LF ; LF
JL CM QU_Pi ; BK|NL ; LF
JL CM QU_Pi ; CR ; CR
JL CM QU_Pi ; SP ; SP
JL CM QU_Pi ; EXmEastAsian ; EXmEastAsian
JL CM QU_Pi ; QUmPimPf ; QUmPimPf
JL CM QU_Pi ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
JL CM QU_Pi ; PRmEastAsian ; PRmEastAsian
JL CM QU_Pi ; POmEastAsian ; POmEastAsian
JL CM QU_Pi ; OPmEastAsian ; OPmEastAsian
JL CM QU_Pi ; CP ; CP
JL CM QU_Pi ; IS ; IS
JL CM QU_Pi ; HY ; CM HY
JL CM QU_Pi ; SY ; SY
JL CM QU_Pi ; NU ; NU
JL CM QU_Pi ; CLmEastAsian ; CLmEastAsian
JL CM QU_Pi ; GLmEastAsian ; GLmEastAsian
JL CM QU_Pi ; QU_Pi ; QUmPimPf QU_Pi
JL CM QU_Pi ; BB ; BB
JL CM QU_Pi ; QU_Pf ; BAmEastAsian QU_Pf
JL CM QU_Pi ; HH ; BAmEastAsian
JL CM QU_Pi ; HL ; HL
JL CM QU_Pi ; JL ; JL CM QU_Pi JL
JL CM QU_Pi ; JV ; JV
JL CM QU_Pi ; JT ; JT
JL CM QU_Pi ; NSmEastAsian ; EXmEastAsian
JL CM QU_Pi ; AK ; AK
JL CM QU_Pi ; VI ; EXmEastAsian
JL CM QU_Pi ; AS ; AK
JL CM QU_Pi ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
JL CM QU_Pi ; VF ; EXmEastAsian
JL CM QU_Pi ; ZW ; ZW
JL CM QU_Pi ; ZWJ ; JL CM QU_Pi CM
JL CM QU_Pi ; B2 ; B2
JL CM QU_Pi ; INmEastAsian ; EXmEastAsian
JL CM QU_Pi ; WJ ; WJ
JL CM QU_Pi ; PR_EastAsian ; JL CM QU_Pi PR_EastAsian
JL CM QU_Pi ; ID_EastAsian ; JL CM QU_Pi ID_EastAsian
JL CM QU_Pi ; OP_EastAsian ; JL CM QU_Pi OP_EastAsian
JL CM QU_Pi ; CL_EastAsian ; JL CM QU_Pi CL_EastAsian
JL CM QU_Pi ; AI_EastAsian|AL_EastAsian ; JL CM QU_Pi AL_EastAsian
JL CM QU_Pi ; AL_DottedCircle ; AL_DottedCircle
JL CM QU_Pi ; EBmEastAsian ; EBmEastAsian
JL CM QU_Pi ; EB_EastAsian ; JL CM QU_Pi EB_EastAsian
JL CM QU_Pi ; BA_EastAsian ; JL CM QU_Pi BA_EastAsian
JL CM QU_Pi ; NS_EastAsian|CJ ; JL CM QU_Pi CJ
JL CM QU_Pi ; H2 ; JL CM QU_Pi H2
JL CM QU_Pi ; H3 ; JL CM QU_Pi H3
JL CM QU_Pi ; EX_EastAsian ; JL CM QU_Pi CJ
JL CM QU_Pi ; IN_EastAsian ; JL CM QU_Pi CJ
JL CM QU_Pi ; PO_EastAsian ; JL CM QU_Pi PO_EastAsian
JL CM QU_Pi ; CB ; CB
JL CM QU_Pi ; AP ; AP
JL CM QU_Pi ; GL_EastAsian ; JL CM QU_Pi GL_EastAsian
JL CM QU_Pi ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
JL CM QU_Pi ; RI ; RI
JL CM QU_Pi ; EM ; JL CM QU_Pi ID_EastAsian
JL CM QU_Pi ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
JL CM QU_Pi ; SAmMnmMc ; ALmEastAsianmDottedCircle
JL CM QU_Pi ; SA_Mn|SA_Mc ; JL CM QU_Pi CM
JL CM QU_Pf ; eot ; CM QU_Pf eot
JL CM QU_Pf ; CM ; JL CM QU_Pf CM
JL CM QU_Pf ; BAmEastAsian ; BAmEastAsian
JL CM QU_Pf ; LF ; LF
JL CM QU_Pf ; BK|NL ; LF
JL CM QU_Pf ; CR ; CR
JL CM QU_Pf ; SP ; SP
JL CM QU_Pf ; EXmEastAsian ; EXmEastAsian
JL CM QU_Pf ; QUmPimPf ; QUmPimPf
JL CM QU_Pf ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
JL CM QU_Pf ; PRmEastAsian ; PRmEastAsian
JL CM QU_Pf ; POmEastAsian ; POmEastAsian
JL CM QU_Pf ; OPmEastAsian ; OPmEastAsian
JL CM QU_Pf ; CP ; CP
JL CM QU_Pf ; IS ; IS
JL CM QU_Pf ; HY ; CM HY
JL CM QU_Pf ; SY ; SY
JL CM QU_Pf ; NU ; NU
JL CM QU_Pf ; CLmEastAsian ; CLmEastAsian
JL CM QU_Pf ; GLmEastAsian ; GLmEastAsian
JL CM QU_Pf ; QU_Pi ; BAmEastAsian CM QU_Pf QU_Pi
JL CM QU_Pf ; BB ; BB
JL CM QU_Pf ; QU_Pf ; BAmEastAsian QU_Pf
JL CM QU_Pf ; HH ; BAmEastAsian
JL CM QU_Pf ; HL ; HL
JL CM QU_Pf ; JL ; JL QU_Pf JL
JL CM QU_Pf ; JV ; JV
JL CM QU_Pf ; JT ; JT
JL CM QU_Pf ; NSmEastAsian ; EXmEastAsian
JL CM QU_Pf ; AK ; AK
JL CM QU_Pf ; VI ; EXmEastAsian
JL CM QU_Pf ; AS ; AK
JL CM QU_Pf ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
JL CM QU_Pf ; VF ; EXmEastAsian
JL CM QU_Pf ; ZW ; ZW
JL CM QU_Pf ; ZWJ ; JL CM QU_Pf ZWJ
JL CM QU_Pf ; B2 ; B2
JL CM QU_Pf ; INmEastAsian ; EXmEastAsian
JL CM QU_Pf ; WJ ; WJ
JL CM QU_Pf ; PR_EastAsian ; JL QU_Pf PR_EastAsian
JL CM QU_Pf ; ID_EastAsian ; JL QU_Pf ID_EastAsian
JL CM QU_Pf ; OP_EastAsian ; JL QU_Pf OP_EastAsian
JL CM QU_Pf ; CL_EastAsian ; CL_EastAsian
JL CM QU_Pf ; AI_EastAsian|AL_EastAsian ; JL QU_Pf AL_EastAsian
JL CM QU_Pf ; AL_DottedCircle ; AL_DottedCircle
JL CM QU_Pf ; EBmEastAsian ; EBmEastAsian
JL CM QU_Pf ; EB_EastAsian ; JL QU_Pf EB_EastAsian
JL CM QU_Pf ; BA_EastAsian ; BA_EastAsian
JL CM QU_Pf ; NS_EastAsian|CJ ; CJ
JL CM QU_Pf ; H2 ; JL QU_Pf H2
JL CM QU_Pf ; H3 ; JL QU_Pf H3
JL CM QU_Pf ; EX_EastAsian ; CJ
JL CM QU_Pf ; IN_EastAsian ; CJ
JL CM QU_Pf ; PO_EastAsian ; JL QU_Pf PO_EastAsian
JL CM QU_Pf ; CB ; CB
JL CM QU_Pf ; AP ; AP
JL CM QU_Pf ; GL_EastAsian ; GL_EastAsian
JL CM QU_Pf ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
JL CM QU_Pf ; RI ; RI
JL CM QU_Pf ; EM ; JL QU_Pf ID_EastAsian
JL CM QU_Pf ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
JL CM QU_Pf ; SAmMnmMc ; ALmEastAsianmDottedCircle
JL CM QU_Pf ; SA_Mn|SA_Mc ; JL CM QU_Pf CM
JL QU_Pi CM ; CM ; JL QU_Pi CM
JL QU_Pi CM ; BAmEastAsian ; BAmEastAsian
JL QU_Pi CM ; LF ; LF
JL QU_Pi CM ; BK|NL ; LF
JL QU_Pi CM ; CR ; CR
JL QU_Pi CM ; SP ; SP
JL QU_Pi CM ; EXmEastAsian ; EXmEastAsian
JL QU_Pi CM ; QUmPimPf ; QUmPimPf
JL QU_Pi CM ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
JL QU_Pi CM ; PRmEastAsian ; PRmEastAsian
JL QU_Pi CM ; POmEastAsian ; POmEastAsian
JL QU_Pi CM ; OPmEastAsian ; OPmEastAsian
JL QU_Pi CM ; CP ; CP
JL QU_Pi CM ; IS ; IS
JL QU_Pi CM ; HY ; CM HY
JL QU_Pi CM ; SY ; SY
JL QU_Pi CM ; NU ; NU
JL QU_Pi CM ; CLmEastAsian ; CLmEastAsian
JL QU_Pi CM ; GLmEastAsian ; GLmEastAsian
JL QU_Pi CM ; QU_Pi ; QUmPimPf QU_Pi
JL QU_Pi CM ; BB ; BB
JL QU_Pi CM ; QU_Pf ; BAmEastAsian CM QU_Pf
JL QU_Pi CM ; HH ; BAmEastAsian
JL QU_Pi CM ; HL ; HL
JL QU_Pi CM ; JL ; JL QU_Pi JL
JL QU_Pi CM ; JV ; JV
JL QU_Pi CM ; JT ; JT
JL QU_Pi CM ; NSmEastAsian ; EXmEastAsian
JL QU_Pi CM ; AK ; AK
JL QU_Pi CM ; VI ; EXmEastAsian
JL QU_Pi CM ; AS ; AK
JL QU_Pi CM ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
JL QU_Pi CM ; VF ; EXmEastAsian
JL QU_Pi CM ; ZW ; ZW
JL QU_Pi CM ; ZWJ ; JL QU_Pi CM
JL QU_Pi CM ; B2 ; B2
JL QU_Pi CM ; INmEastAsian ; EXmEastAsian
JL QU_Pi CM ; WJ ; WJ
JL QU_Pi CM ; PR_EastAsian ; JL QU_Pi PR_EastAsian
JL QU_Pi CM ; ID_EastAsian ; JL QU_Pi ID_EastAsian
JL QU_Pi CM ; OP_EastAsian ; JL QU_Pi OP_EastAsian
JL QU_Pi CM ; CL_EastAsian ; JL QU_Pi CL_EastAsian
JL QU_Pi CM ; AI_EastAsian|AL_EastAsian ; JL QU_Pi AL_EastAsian
JL QU_Pi CM ; AL_DottedCircle ; AL_DottedCircle
JL QU_Pi CM ; EBmEastAsian ; EBmEastAsian
JL QU_Pi CM ; EB_EastAsian ; JL QU_Pi EB_EastAsian
JL QU_Pi CM ; BA_EastAsian ; JL QU_Pi BA_EastAsian
JL QU_Pi CM ; NS_EastAsian|CJ ; JL QU_Pi CJ
JL QU_Pi CM ; H2 ; JL QU_Pi H2
JL QU_Pi CM ; H3 ; JL QU_Pi H3
JL QU_Pi CM ; EX_EastAsian ; JL QU_Pi CJ
JL QU_Pi CM ; IN_EastAsian ; JL QU_Pi CJ
JL QU_Pi CM ; PO_EastAsian ; JL QU_Pi PO_EastAsian
JL QU_Pi CM ; CB ; CB
JL QU_Pi CM ; AP ; AP
JL QU_Pi CM ; GL_EastAsian ; JL QU_Pi GL_EastAsian
JL QU_Pi CM ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
JL QU_Pi CM ; RI ; RI
JL QU_Pi CM ; EM ; JL QU_Pi ID_EastAsian
JL QU_Pi CM ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
JL QU_Pi CM ; SAmMnmMc ; ALmEastAsianmDottedCircle
JL QU_Pi CM ; SA_Mn|SA_Mc ; JL QU_Pi CM
JL QU_Pi JL ; CM ; JL CM
JL QU_Pi JL ; BAmEastAsian ; BAmEastAsian
JL QU_Pi JL ; LF ; LF
JL QU_Pi JL ; BK|NL ; LF
JL QU_Pi JL ; CR ; CR
JL QU_Pi JL ; SP ; SP
JL QU_Pi JL ; EXmEastAsian ; EXmEastAsian
JL QU_Pi JL ; QUmPimPf ; QUmPimPf
JL QU_Pi JL ; POmEastAsian ; POmEastAsian
JL QU_Pi JL ; CP ; CP
JL QU_Pi JL ; IS ; IS
JL QU_Pi JL ; HY ; CM HY
JL QU_Pi JL ; SY ; SY
JL QU_Pi JL ; CLmEastAsian ; CLmEastAsian
JL QU_Pi JL ; GLmEastAsian ; GLmEastAsian
JL QU_Pi JL ; QU_Pi ; JL QU_Pi
JL QU_Pi JL ; QU_Pf ; JL QU_Pf
JL QU_Pi JL ; HH ; BAmEastAsian
JL QU_Pi JL ; JL ; JL
JL QU_Pi JL ; JV ; JV
JL QU_Pi JL ; NSmEastAsian ; EXmEastAsian
JL QU_Pi JL ; ZW ; ZW
JL QU_Pi JL ; ZWJ ; JL ZWJ
JL QU_Pi JL ; INmEastAsian ; EXmEastAsian
JL QU_Pi JL ; WJ ; WJ
JL QU_Pi JL ; CL_EastAsian ; CL_EastAsian
JL QU_Pi JL ; BA_EastAsian ; BA_EastAsian
JL QU_Pi JL ; NS_EastAsian|CJ ; CJ
JL QU_Pi JL ; H2 ; H2
JL QU_Pi JL ; H3 ; H3
JL QU_Pi JL ; EX_EastAsian ; CJ
JL QU_Pi JL ; IN_EastAsian ; CJ
JL QU_Pi JL ; PO_EastAsian ; PO_EastAsian
JL QU_Pi JL ; GL_EastAsian ; GL_EastAsian
JL QU_Pi JL ; SA_Mn|SA_Mc ; JL CM
JL QU_Pi PR_EastAsian ; CM ; PR_EastAsian CM
JL QU_Pi PR_EastAsian ; BAmEastAsian ; BAmEastAsian
JL QU_Pi PR_EastAsian ; LF ; LF
JL QU_Pi PR_EastAsian ; BK|NL ; LF
JL QU_Pi PR_EastAsian ; CR ; CR
JL QU_Pi PR_EastAsian ; SP ; SP
JL QU_Pi PR_EastAsian ; EXmEastAsian ; EXmEastAsian
JL QU_Pi PR_EastAsian ; QUmPimPf ; QUmPimPf
JL QU_Pi PR_EastAsian ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
JL QU_Pi PR_EastAsian ; OPmEastAsian ; PRmEastAsian OPmEastAsian
JL QU_Pi PR_EastAsian ; CP ; CP
JL QU_Pi PR_EastAsian ; IS ; IS
JL QU_Pi PR_EastAsian ; HY ; CM HY
JL QU_Pi PR_EastAsian ; SY ; SY
JL QU_Pi PR_EastAsian ; NU ; NU
JL QU_Pi PR_EastAsian ; CLmEastAsian ; CLmEastAsian
JL QU_Pi PR_EastAsian ; GLmEastAsian ; GLmEastAsian
JL QU_Pi PR_EastAsian ; QU_Pi ; JL QU_Pi
JL QU_Pi PR_EastAsian ; QU_Pf ; JL QU_Pf
JL QU_Pi PR_EastAsian ; HH ; BAmEastAsian
JL QU_Pi PR_EastAsian ; HL ; HL
JL QU_Pi PR_EastAsian ; JL ; JL
JL QU_Pi PR_EastAsian ; JV ; JV
JL QU_Pi PR_EastAsian ; JT ; JT
JL QU_Pi PR_EastAsian ; NSmEastAsian ; EXmEastAsian
JL QU_Pi PR_EastAsian ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
JL QU_Pi PR_EastAsian ; ZW ; ZW
JL QU_Pi PR_EastAsian ; ZWJ ; PR_EastAsian ZWJ
JL QU_Pi PR_EastAsian ; INmEastAsian ; EXmEastAsian
JL QU_Pi PR_EastAsian ; WJ ; WJ
JL QU_Pi PR_EastAsian ; ID_EastAsian ; ID_EastAsian
JL QU_Pi PR_EastAsian ; OP_EastAsian ; PRmEastAsian OPmEastAsian
JL QU_Pi PR_EastAsian ; CL_EastAsian ; CL_EastAsian
JL QU_Pi PR_EastAsian ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
JL QU_Pi PR_EastAsian ; AL_DottedCircle ; AL_DottedCircle
JL QU_Pi PR_EastAsian ; EBmEastAsian ; EBmEastAsian
JL QU_Pi PR_EastAsian ; EB_EastAsian ; EB_EastAsian
JL QU_Pi PR_EastAsian ; BA_EastAsian ; BA_EastAsian
JL QU_Pi PR_EastAsian ; NS_EastAsian|CJ ; CJ
JL QU_Pi PR_EastAsian ; H2 ; H2
JL QU_Pi PR_EastAsian ; H3 ; H3
JL QU_Pi PR_EastAsian ; EX_EastAsian ; CJ
JL QU_Pi PR_EastAsian ; IN_EastAsian ; CJ
JL QU_Pi PR_EastAsian ; GL_EastAsian ; GL_EastAsian
JL QU_Pi PR_EastAsian ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
JL QU_Pi PR_EastAsian ; EM ; ID_EastAsian
JL QU_Pi PR_EastAsian ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
JL QU_Pi PR_EastAsian ; SAmMnmMc ; ALmEastAsianmDottedCircle
JL QU_Pi PR_EastAsian ; SA_Mn|SA_Mc ; PR_EastAsian CM
JL QU_Pi ID_EastAsian ; CM ; ID_EastAsian CM
JL QU_Pi ID_EastAsian ; BAmEastAsian ; BAmEastAsian
JL QU_Pi ID_EastAsian ; LF ; LF
JL QU_Pi ID_EastAsian ; BK|NL ; LF
JL QU_Pi ID_EastAsian ; CR ; CR
JL QU_Pi ID_EastAsian ; SP ; SP
JL QU_Pi ID_EastAsian ; EXmEastAsian ; EXmEastAsian
JL QU_Pi ID_EastAsian ; QUmPimPf ; QUmPimPf
JL QU_Pi ID_EastAsian ; POmEastAsian ; POmEastAsian
JL QU_Pi ID_EastAsian ; CP ; CP
JL QU_Pi ID_EastAsian ; IS ; IS
JL QU_Pi ID_EastAsian ; HY ; CM HY
JL QU_Pi ID_EastAsian ; SY ; SY
JL QU_Pi ID_EastAsian ; CLmEastAsian ; CLmEastAsian
JL QU_Pi ID_EastAsian ; GLmEastAsian ; GLmEastAsian
JL QU_Pi ID_EastAsian ; QU_Pi ; JL QU_Pi
JL QU_Pi ID_EastAsian ; QU_Pf ; JL QU_Pf
JL QU_Pi ID_EastAsian ; HH ; BAmEastAsian
JL QU_Pi ID_EastAsian ; NSmEastAsian ; EXmEastAsian
JL QU_Pi ID_EastAsian ; ZW ; ZW
JL QU_Pi ID_EastAsian ; ZWJ ; ID_EastAsian ZWJ
JL QU_Pi ID_EastAsian ; INmEastAsian ; EXmEastAsian
JL QU_Pi ID_EastAsian ; WJ ; WJ
JL QU_Pi ID_EastAsian ; CL_EastAsian ; CL_EastAsian
JL QU_Pi ID_EastAsian ; BA_EastAsian ; BA_EastAsian
JL QU_Pi ID_EastAsian ; NS_EastAsian|CJ ; CJ
JL QU_Pi ID_EastAsian ; EX_EastAsian ; CJ
JL QU_Pi ID_EastAsian ; IN_EastAsian ; CJ
JL QU_Pi ID_EastAsian ; PO_EastAsian ; PO_EastAsian
JL QU_Pi ID_EastAsian ; GL_EastAsian ; GL_EastAsian
JL QU_Pi ID_EastAsian ; SA_Mn|SA_Mc ; ID_EastAsian CM
JL QU_Pi OP_EastAsian ; CM ; OP_EastAsian CM
JL QU_Pi OP_EastAsian ; BAmEastAsian ; BAmEastAsian
JL QU_Pi OP_EastAsian ; LF ; LF
JL QU_Pi OP_EastAsian ; BK|NL ; LF
JL QU_Pi OP_EastAsian ; CR ; CR
JL QU_Pi OP_EastAsian ; SP ; OPmEastAsian SP
JL QU_Pi OP_EastAsian ; EXmEastAsian ; EXmEastAsian
JL QU_Pi OP_EastAsian ; QUmPimPf ; QUmPimPf
JL QU_Pi OP_EastAsian ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
JL QU_Pi OP_EastAsian ; PRmEastAsian ; PRmEastAsian
JL QU_Pi OP_EastAsian ; POmEastAsian ; POmEastAsian
JL QU_Pi OP_EastAsian ; OPmEastAsian ; OPmEastAsian
JL QU_Pi OP_EastAsian ; CP ; CP
JL QU_Pi OP_EastAsian ; IS ; IS
JL QU_Pi OP_EastAsian ; HY ; CM HY
JL QU_Pi OP_EastAsian ; SY ; SY
JL QU_Pi OP_EastAsian ; NU ; NU
JL QU_Pi OP_EastAsian ; CLmEastAsian ; CLmEastAsian
JL QU_Pi OP_EastAsian ; GLmEastAsian ; GLmEastAsian
JL QU_Pi OP_EastAsian ; QU_Pi ; QUmPimPf QU_Pi
JL QU_Pi OP_EastAsian ; BB ; BB
JL QU_Pi OP_EastAsian ; QU_Pf ; JL QU_Pf
JL QU_Pi OP_EastAsian ; HH ; BAmEastAsian
JL QU_Pi OP_EastAsian ; HL ; HL
JL QU_Pi OP_EastAsian ; JL ; JL
JL QU_Pi OP_EastAsian ; JV ; JV
JL QU_Pi OP_EastAsian ; JT ; JT
JL QU_Pi OP_EastAsian ; NSmEastAsian ; EXmEastAsian
JL QU_Pi OP_EastAsian ; AK ; AK
JL QU_Pi OP_EastAsian ; VI ; EXmEastAsian
JL QU_Pi OP_EastAsian ; AS ; AK
JL QU_Pi OP_EastAsian ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
JL QU_Pi OP_EastAsian ; VF ; EXmEastAsian
JL QU_Pi OP_EastAsian ; ZW ; ZW
JL QU_Pi OP_EastAsian ; ZWJ ; OP_EastAsian CM
JL QU_Pi OP_EastAsian ; B2 ; B2
JL QU_Pi OP_EastAsian ; INmEastAsian ; EXmEastAsian
JL QU_Pi OP_EastAsian ; WJ ; WJ
JL QU_Pi OP_EastAsian ; PR_EastAsian ; PR_EastAsian
JL QU_Pi OP_EastAsian ; ID_EastAsian ; ID_EastAsian
JL QU_Pi OP_EastAsian ; OP_EastAsian ; OP_EastAsian
JL QU_Pi OP_EastAsian ; CL_EastAsian ; CL_EastAsian
JL QU_Pi OP_EastAsian ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
JL QU_Pi OP_EastAsian ; AL_DottedCircle ; AL_DottedCircle
JL QU_Pi OP_EastAsian ; EBmEastAsian ; EBmEastAsian
JL QU_Pi OP_EastAsian ; EB_EastAsian ; EB_EastAsian
JL QU_Pi OP_EastAsian ; BA_EastAsian ; BA_EastAsian
JL QU_Pi OP_EastAsian ; NS_EastAsian|CJ ; CJ
JL QU_Pi OP_EastAsian ; H2 ; H2
JL QU_Pi OP_EastAsian ; H3 ; H3
JL QU_Pi OP_EastAsian ; EX_EastAsian ; CJ
JL QU_Pi OP_EastAsian ; IN_EastAsian ; CJ
JL QU_Pi OP_EastAsian ; PO_EastAsian ; PO_EastAsian
JL QU_Pi OP_EastAsian ; CB ; CB
JL QU_Pi OP_EastAsian ; AP ; AP
JL QU_Pi OP_EastAsian ; GL_EastAsian ; GL_EastAsian
JL QU_Pi OP_EastAsian ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
JL QU_Pi OP_EastAsian ; RI ; RI
JL QU_Pi OP_EastAsian ; EM ; ID_EastAsian
JL QU_Pi OP_EastAsian ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
JL QU_Pi OP_EastAsian ; SAmMnmMc ; ALmEastAsianmDottedCircle
JL QU_Pi OP_EastAsian ; SA_Mn|SA_Mc ; OP_EastAsian CM
JL QU_Pi CL_EastAsian ; CM ; CL_EastAsian CM
JL QU_Pi CL_EastAsian ; BAmEastAsian ; BAmEastAsian
JL QU_Pi CL_EastAsian ; LF ; LF
JL QU_Pi CL_EastAsian ; BK|NL ; LF
JL QU_Pi CL_EastAsian ; CR ; CR
JL QU_Pi CL_EastAsian ; SP ; CP SP
JL QU_Pi CL_EastAsian ; EXmEastAsian ; EXmEastAsian
JL QU_Pi CL_EastAsian ; QUmPimPf ; QUmPimPf
JL QU_Pi CL_EastAsian ; CP ; CP
JL QU_Pi CL_EastAsian ; IS ; IS
JL QU_Pi CL_EastAsian ; HY ; CM HY
JL QU_Pi CL_EastAsian ; SY ; SY
JL QU_Pi CL_EastAsian ; CLmEastAsian ; CLmEastAsian
JL QU_Pi CL_EastAsian ; GLmEastAsian ; GLmEastAsian
JL QU_Pi CL_EastAsian ; QU_Pi ; JL QU_Pi
JL QU_Pi CL_EastAsian ; QU_Pf ; JL QU_Pf
JL QU_Pi CL_EastAsian ; HH ; BAmEastAsian
JL QU_Pi CL_EastAsian ; NSmEastAsian ; EXmEastAsian
JL QU_Pi CL_EastAsian ; ZW ; ZW
JL QU_Pi CL_EastAsian ; ZWJ ; CL_EastAsian ZWJ
JL QU_Pi CL_EastAsian ; INmEastAsian ; EXmEastAsian
JL QU_Pi CL_EastAsian ; WJ ; WJ
JL QU_Pi CL_EastAsian ; CL_EastAsian ; CL_EastAsian
JL QU_Pi CL_EastAsian ; BA_EastAsian ; BA_EastAsian
JL QU_Pi CL_EastAsian ; NS_EastAsian|CJ ; CJ
