# Security Profile for General Identifiers
# File: xidmodifications.txt
# Version: 2.1-draft
# Generated: 2010-01-16, 01:33:41 GMT
# Checkin: $Revision: 1.1 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# Characters restricted

0F0D..0F17    ; restricted ; not in XID+                                 # [11] (།..༗)  TIBETAN MARK SHAD..TIBETAN ASTROLOGICAL SIGN SGRA GCAN -CHAR RTAGS
0F1A..0F1F    ; restricted ; not in XID+                                 #  [6] (༚..༟)  TIBETAN SIGN RDEL DKAR GCIG..TIBETAN SIGN RDEL DKAR RDEL NAG
0F2A..0F34    ; restricted ; not in XID+                                 # [11] (༪..༴)  TIBETAN DIGIT HALF ONE..TIBETAN MARK BSDUS RTAGS
0F36          ; restricted ; not in XID+                                 #      (༶)  TIBETAN MARK CARET -DZUD RTAGS BZHI MIG CAN
0F38          ; restricted ; not in XID+                                 #      (༸)  TIBETAN MARK CHE MGO
0F3A..0F3D    ; restricted ; not in XID+                                 #  [4] (༺..༽)  TIBETAN MARK GUG RTAGS GYON..TIBETAN MARK ANG KHANG GYAS
0F73          ; restricted ; deprecated or discouraged                   #      (ཱི)  TIBETAN VOWEL SIGN II
0F75          ; restricted ; deprecated or discouraged                   #      (ཱུ)  TIBETAN VOWEL SIGN UU
0F77          ; restricted ; deprecated or discouraged                   #      (ཷ)  TIBETAN VOWEL SIGN VOCALIC RR
0F79          ; restricted ; deprecated or discouraged                   #      (ཹ)  TIBETAN VOWEL SIGN VOCALIC LL
0F81          ; restricted ; deprecated or discouraged                   #      (ཱྀ)  TIBETAN VOWEL SIGN REVERSED II
0F85          ; restricted ; not in XID+                                 #      (྅)  TIBETAN MARK PALUTA
0FBE..0FC5    ; restricted ; not in XID+                                 #  [8] (྾..࿅)  TIBETAN KU RU KHA..TIBETAN SYMBOL RDO RJE
0FC7..0FCC    ; restricted ; not in XID+                                 #  [6] (࿇..࿌)  TIBETAN SYMBOL RDO RJE RGYA GRAM..TIBETAN SYMBOL NOR BU BZHI -KHYIL
0FCF          ; restricted ; not in XID+                                 #      (࿏)  TIBETAN SIGN RDEL NAG GSUM
104A..104F    ; restricted ; not in XID+                                 #  [6] (၊..၏)  MYANMAR SIGN LITTLE SECTION..MYANMAR SYMBOL GENITIVE
10F1..10F6    ; restricted ; archaic                                     #  [6] (ჱ..ჶ)  GEORGIAN LETTER HE..GEORGIAN LETTER FI
10FB          ; restricted ; not in XID+                                 #      (჻)  GEORGIAN PARAGRAPH SEPARATOR
1100..115E    ; restricted ; archaic (used for ancient Hangul)           # [95] (ᄀ..ᅞ)  HANGUL CHOSEONG KIYEOK..HANGUL CHOSEONG TIKEUT-RIEUL
115F..1160    ; restricted ; default-ignorable                           #  [2] (U+115F..U+1160)  HANGUL CHOSEONG FILLER..HANGUL JUNGSEONG FILLER
1161..11FF    ; restricted ; archaic (used for ancient Hangul)           # [159] (ᅡ..ᇿ)  HANGUL JUNGSEONG A..HANGUL JONGSEONG SSANGNIEUN
1361..1368    ; restricted ; not in XID+                                 #  [8] (፡..፨)  ETHIOPIC WORDSPACE..ETHIOPIC PARAGRAPH SEPARATOR
1372..137C    ; restricted ; not in XID+                                 # [11] (፲..፼)  ETHIOPIC NUMBER TEN..ETHIOPIC NUMBER TEN THOUSAND
13A0..13F4    ; restricted ; UAX31 T5 Limited Use                        # [85] (Ꭰ..Ᏼ)  CHEROKEE LETTER A..CHEROKEE LETTER YV
166D..166E    ; restricted ; not in XID+                                 #  [2] (᙭..᙮)  CANADIAN SYLLABICS CHI SIGN..CANADIAN SYLLABICS FULL STOP
1680..169A    ; restricted ; UAX31 T4 Candidate Exclusions               # [27] (U+1680..ᚚ)  OGHAM SPACE MARK..OGHAM LETTER PEITH
169B..169C    ; restricted ; not in XID+                                 #  [2] (᚛..᚜)  OGHAM FEATHER MARK..OGHAM REVERSED FEATHER MARK
16A0..16EA    ; restricted ; UAX31 T4 Candidate Exclusions               # [75] (ᚠ..ᛪ)  RUNIC LETTER FEHU FEOH FE F..RUNIC LETTER X
16EB..16ED    ; restricted ; not in XID+                                 #  [3] (᛫..᛭)  RUNIC SINGLE PUNCTUATION..RUNIC CROSS PUNCTUATION
16EE..16F0    ; restricted ; UAX31 T4 Candidate Exclusions               #  [3] (ᛮ..ᛰ)  RUNIC ARLAUG SYMBOL..RUNIC BELGTHOR SYMBOL
1700..170C    ; restricted ; UAX31 T4 Candidate Exclusions               # [13] (ᜀ..ᜌ)  TAGALOG LETTER A..TAGALOG LETTER YA
170E..1714    ; restricted ; UAX31 T4 Candidate Exclusions               #  [7] (ᜎ..᜔)  TAGALOG LETTER LA..TAGALOG SIGN VIRAMA
1720..1734    ; restricted ; UAX31 T4 Candidate Exclusions               # [21] (ᜠ..᜴)  HANUNOO LETTER A..HANUNOO SIGN PAMUDPOD
1735..1736    ; restricted ; not in XID+                                 #  [2] (᜵..᜶)  PHILIPPINE SINGLE PUNCTUATION..PHILIPPINE DOUBLE PUNCTUATION
1740..1753    ; restricted ; UAX31 T4 Candidate Exclusions               # [20] (ᝀ..ᝓ)  BUHID LETTER A..BUHID VOWEL SIGN U
1760..176C    ; restricted ; UAX31 T4 Candidate Exclusions               # [13] (ᝠ..ᝬ)  TAGBANWA LETTER A..TAGBANWA LETTER YA
176E..1770    ; restricted ; UAX31 T4 Candidate Exclusions               #  [3] (ᝮ..ᝰ)  TAGBANWA LETTER LA..TAGBANWA LETTER SA
1772..1773    ; restricted ; UAX31 T4 Candidate Exclusions               #  [2] (ᝲ..ᝳ)  TAGBANWA VOWEL SIGN I..TAGBANWA VOWEL SIGN U
17A3..17A4    ; restricted ; deprecated or discouraged                   #  [2] (ឣ..ឤ)  KHMER INDEPENDENT VOWEL QAQ..KHMER INDEPENDENT VOWEL QAA
17A8          ; restricted ; archaic ligature for the sequence 17A7 1780 #      (ឨ)  KHMER INDEPENDENT VOWEL QUK
17B4..17B5    ; restricted ; not in XID+                                 #  [2] (U+17B4..U+17B5)  KHMER VOWEL INHERENT AQ..KHMER VOWEL INHERENT AA
17D1          ; restricted ; mostly obsolete                             #      (៑)  KHMER SIGN VIRIAM
17D3          ; restricted ; deprecated or discouraged                   #      (៓)  KHMER SIGN BATHAMASAT
17D4..17D6    ; restricted ; not in XID+                                 #  [3] (។..៖)  KHMER SIGN KHAN..KHMER SIGN CAMNUC PII KUUH
17D8..17DB    ; restricted ; not in XID+                                 #  [4] (៘..៛)  KHMER SIGN BEYYAL..KHMER CURRENCY SYMBOL RIEL
17DD          ; restricted ; mostly obsolete                             #      (៝)  KHMER SIGN ATTHACAN
1800..1805    ; restricted ; not in XID+                                 #  [6] (᠀..᠅)  MONGOLIAN BIRGA..MONGOLIAN FOUR DOTS
1807..180A    ; restricted ; not in XID+                                 #  [4] (᠇..᠊)  MONGOLIAN SIBE SYLLABLE BOUNDARY MARKER..MONGOLIAN NIRUGU
180B..180D    ; restricted ; default-ignorable                           #  [3] (U+180B..U+180D)  MONGOLIAN FREE VARIATION SELECTOR ONE..MONGOLIAN FREE VARIATION SELECTOR THREE
1900..191C    ; restricted ; UAX31 T5 Limited Use                        # [29] (ᤀ..ᤜ)  LIMBU VOWEL-CARRIER LETTER..LIMBU LETTER HA
1920..192B    ; restricted ; UAX31 T5 Limited Use                        # [12] (ᤠ..ᤫ)  LIMBU VOWEL SIGN A..LIMBU SUBJOINED LETTER WA
1930..193B    ; restricted ; UAX31 T5 Limited Use                        # [12] (ᤰ..᤻)  LIMBU SMALL LETTER KA..LIMBU SIGN SA-I
1940          ; restricted ; UAX31 T5 Limited Use                        #      (᥀)  LIMBU SIGN LOO
1944..196D    ; restricted ; UAX31 T5 Limited Use                        # [42] (᥄..ᥭ)  LIMBU EXCLAMATION MARK..TAI LE LETTER AI
1970..1974    ; restricted ; UAX31 T5 Limited Use                        #  [5] (ᥰ..ᥴ)  TAI LE LETTER TONE-2..TAI LE LETTER TONE-6
1980..19AB    ; restricted ; UAX31 T5 Limited Use                        # [44] (ᦀ..ᦫ)  NEW TAI LUE LETTER HIGH QA..NEW TAI LUE LETTER LOW SUA
19B0..19C9    ; restricted ; UAX31 T5 Limited Use                        # [26] (ᦰ..ᧉ)  NEW TAI LUE VOWEL SIGN VOWEL SHORTENER..NEW TAI LUE TONE MARK-2
19D0..19DA    ; restricted ; UAX31 T5 Limited Use                        # [11] (᧐..᧚)  NEW TAI LUE DIGIT ZERO..NEW TAI LUE THAM DIGIT ONE
19DE..19DF    ; restricted ; UAX31 T5 Limited Use                        #  [2] (᧞..᧟)  NEW TAI LUE SIGN LAE..NEW TAI LUE SIGN LAEV
1A00..1A1B    ; restricted ; UAX31 T4 Candidate Exclusions               # [28] (ᨀ..ᨛ)  BUGINESE LETTER KA..BUGINESE VOWEL SIGN AE
1A1E..1A1F    ; restricted ; UAX31 T4 Candidate Exclusions               #  [2] (᨞..᨟)  BUGINESE PALLAWA..BUGINESE END OF SECTION
1A20..1A5E    ; restricted ; UAX31 T5 Limited Use                        # [63] (ᨠ..ᩞ)  TAI THAM LETTER HIGH KA..TAI THAM CONSONANT SIGN SA
1A60..1A7C    ; restricted ; UAX31 T5 Limited Use                        # [29] (᩠..᩼)  TAI THAM SIGN SAKOT..TAI THAM SIGN KHUEN-LUE KARAN
1A7F..1A89    ; restricted ; UAX31 T5 Limited Use                        # [11] (᩿..᪉)  TAI THAM COMBINING CRYPTOGRAMMIC DOT..TAI THAM HORA DIGIT NINE
1A90..1A99    ; restricted ; UAX31 T5 Limited Use                        # [10] (᪐..᪙)  TAI THAM THAM DIGIT ZERO..TAI THAM THAM DIGIT NINE
1AA0..1AAD    ; restricted ; UAX31 T5 Limited Use                        # [14] (᪠..᪭)  TAI THAM SIGN WIANG..TAI THAM SIGN CAANG
1B00..1B4B    ; restricted ; UAX31 T5 Limited Use                        # [76] (ᬀ..ᭋ)  BALINESE SIGN ULU RICEM..BALINESE LETTER ASYURA SASAK
1B50..1B7C    ; restricted ; UAX31 T5 Limited Use                        # [45] (᭐..᭼)  BALINESE DIGIT ZERO..BALINESE MUSICAL SYMBOL LEFT-HAND OPEN PING
1B80..1BAA    ; restricted ; UAX31 T5 Limited Use                        # [43] (ᮀ..᮪)  SUNDANESE SIGN PANYECEK..SUNDANESE SIGN PAMAAEH
1BAE..1BB9    ; restricted ; UAX31 T5 Limited Use                        # [12] (ᮮ..᮹)  SUNDANESE LETTER KHA..SUNDANESE DIGIT NINE
1C00..1C37    ; restricted ; UAX31 T5 Limited Use                        # [56] (ᰀ..᰷)  LEPCHA LETTER KA..LEPCHA SIGN NUKTA
1C3B..1C49    ; restricted ; UAX31 T5 Limited Use                        # [15] (᰻..᱉)  LEPCHA PUNCTUATION TA-ROL..LEPCHA DIGIT NINE
1C4D..1C7F    ; restricted ; UAX31 T5 Limited Use                        # [51] (ᱍ..᱿)  LEPCHA LETTER TTA..OL CHIKI PUNCTUATION DOUBLE MUCAAD
1D00..1D76    ; restricted ; non-IPA phonetics                           # [119] (ᴀ..ᵶ)  LATIN LETTER SMALL CAPITAL A..LATIN SMALL LETTER Z WITH MIDDLE TILDE
1D77          ; restricted ; academic                                    #      (ᵷ)  LATIN SMALL LETTER TURNED G
1D78..1DBF    ; restricted ; non-IPA phonetics                           # [72] (ᵸ..ᶿ)  MODIFIER LETTER CYRILLIC EN..MODIFIER LETTER SMALL THETA
1DC0..1DC3    ; restricted ; archaic                                     #  [4] (᷀..᷃)  COMBINING DOTTED GRAVE ACCENT..COMBINING SUSPENSION MARK
1E9C..1EFF    ; restricted ; Medievalist                                 # [100] (ẜ..ỿ)  LATIN SMALL LETTER LONG S WITH DIAGONAL STROKE..LATIN SMALL LETTER Y WITH LOOP
200B..200F    ; restricted ; default-ignorable                           #  [5] (U+200B..U+200F)  ZERO WIDTH SPACE..RIGHT-TO-LEFT MARK
2012..2016    ; restricted ; not in XID+                                 #  [5] (‒..‖)  FIGURE DASH..DOUBLE VERTICAL LINE
