# Curated file of exceptions
# Source; 	Target; 	Other; 	Reason(s); 	Comments

#@override reason=digraph

1F171;	0062;	missing_NFKC	 # ( 🅱 → b )	NEGATIVE SQUARED LATIN CAPITAL LETTER B → LATIN SMALL LETTER B
1F172;	0063;	missing_NFKC	 # ( 🅲 → c )	NEGATIVE SQUARED LATIN CAPITAL LETTER C → LATIN SMALL LETTER C
1F173;	0064;	missing_NFKC	 # ( 🅳 → d )	NEGATIVE SQUARED LATIN CAPITAL LETTER D → LATIN SMALL LETTER D
1F174;	0065;	missing_NFKC	 # ( 🅴 → e )	NEGATIVE SQUARED LATIN CAPITAL LETTER E → LATIN SMALL LETTER E
1F175;	0066;	missing_NFKC	 # ( 🅵 → f )	NEGATIVE SQUARED LATIN CAPITAL LETTER F → LATIN SMALL LETTER F
1F176;	0067;	missing_NFKC	 # ( 🅶 → g )	NEGATIVE SQUARED LATIN CAPITAL LETTER G → LATIN SMALL LETTER G
1F177;	0068;	missing_NFKC	 # ( 🅷 → h )	NEGATIVE SQUARED LATIN CAPITAL LETTER H → LATIN SMALL LETTER H
1F178;	0069;	missing_NFKC	 # ( 🅸 → i )	NEGATIVE SQUARED LATIN CAPITAL LETTER I → LATIN SMALL LETTER I
1F179;	006A;	missing_NFKC	 # ( 🅹 → j )	NEGATIVE SQUARED LATIN CAPITAL LETTER J → LATIN SMALL LETTER J
1F17A;	006B;	missing_NFKC	 # ( 🅺 → k )	NEGATIVE SQUARED LATIN CAPITAL LETTER K → LATIN SMALL LETTER K
1F17B;	006C;	missing_NFKC	 # ( 🅻 → l )	NEGATIVE SQUARED LATIN CAPITAL LETTER L → LATIN SMALL LETTER L
1F17C;	006D;	missing_NFKC	 # ( 🅼 → m )	NEGATIVE SQUARED LATIN CAPITAL LETTER M → LATIN SMALL LETTER M
1F17D;	006E;	missing_NFKC	 # ( 🅽 → n )	NEGATIVE SQUARED LATIN CAPITAL LETTER N → LATIN SMALL LETTER N
1F17E;	006F;	missing_NFKC	 # ( 🅾 → o )	NEGATIVE SQUARED LATIN CAPITAL LETTER O → LATIN SMALL LETTER O
1F17F;	0070;	missing_NFKC	 # ( 🅿 → p )	NEGATIVE SQUARED LATIN CAPITAL LETTER P → LATIN SMALL LETTER P
1F180;	0071;	missing_NFKC	 # ( 🆀 → q )	NEGATIVE SQUARED LATIN CAPITAL LETTER Q → LATIN SMALL LETTER Q
1F181;	0072;	missing_NFKC	 # ( 🆁 → r )	NEGATIVE SQUARED LATIN CAPITAL LETTER R → LATIN SMALL LETTER R
1F182;	0073;	missing_NFKC	 # ( 🆂 → s )	NEGATIVE SQUARED LATIN CAPITAL LETTER S → LATIN SMALL LETTER S
1F183;	0074;	missing_NFKC	 # ( 🆃 → t )	NEGATIVE SQUARED LATIN CAPITAL LETTER T → LATIN SMALL LETTER T
1F184;	0075;	missing_NFKC	 # ( 🆄 → u )	NEGATIVE SQUARED LATIN CAPITAL LETTER U → LATIN SMALL LETTER U
1F185;	0076;	missing_NFKC	 # ( 🆅 → v )	NEGATIVE SQUARED LATIN CAPITAL LETTER V → LATIN SMALL LETTER V
1F186;	0077;	missing_NFKC	 # ( 🆆 → w )	NEGATIVE SQUARED LATIN CAPITAL LETTER W → LATIN SMALL LETTER W
1F187;	0078;	missing_NFKC	 # ( 🆇 → x )	NEGATIVE SQUARED LATIN CAPITAL LETTER X → LATIN SMALL LETTER X
1F188;	0079;	missing_NFKC	 # ( 🆈 → y )	NEGATIVE SQUARED LATIN CAPITAL LETTER Y → LATIN SMALL LETTER Y
1F189;	007A;	missing_NFKC	 # ( 🆉 → z )	NEGATIVE SQUARED LATIN CAPITAL LETTER Z → LATIN SMALL LETTER Z
1F18A;	0070;	missing_NFKC	 # ( 🆊 → p )	CROSSED NEGATIVE SQUARED LATIN CAPITAL LETTER P → LATIN SMALL LETTER P
1F18B;	0069 0063;	missing_NFKC	 # ( 🆋 → ic )	NEGATIVE SQUARED IC → LATIN SMALL LETTER I + LATIN SMALL LETTER C
