55F7	2013:5434
55FD	2013:3103
55FE	2013:5721
5600	2013:3111
5601	2013:5698
5608	2013:5696
5609	2013:3056
560C	2013:5697
560E	2013:5699
560F	2013:7646
5618	2013:5715
561A	2013:5720
561B	2013:3110
561E	2013:5695
561F	2013:5440
5621	2013:5716
5623	2013:5718
5624	2013:5719
5627	2013:5722
562C	2013:5930
562D	2013:5905
5631	2013:3253
5632	2013:3238
5634	2013:3342
5636	2013:3237
5639	2013:3239
563B	2013:3236
563F	2013:3252
5640	2013:7778
5642	2013:7777
5647	2013:7776
564C	2013:5936
564D	2013:5932
564E	2013:5906
5654	2013:5937
5657	2013:5929
5658	2013:5910
5659	2013:5934
565C	2013:5935
5662	2013:5933
5664	2013:6089
5668	2013:3348
5669	2013:3329
566A	2013:3349
566B	2013:6106
566C	2013:6105
5671	2013:6104
5676	2013:5907
567B	2013:6107
567C	2013:6108
5684	2013:6087
5685	2013:6226
5686	2013:6088
568E	2013:3413
568F	2013:6225
5693	2013:6236
569A	2013:8001
56A3	2013:3443
56AD	2013:8031
56AF	2013:6382
56B7	2013:3480
56BC	2013:3479
56CA	2013:3496
56D4	2013:6496
56DA	2013:261
56DB	2013:262
56DE	2013:438
56DF	2013:3611
56E0	2013:430
56E1	2013:3596
56E2	2013:425
56E4	2013:750
56EB	2013:3720
56ED	2013:726
56F0	2013:734
56F1	2013:790
56F4	2013:728
56F5	2013:3719
56F7	2013:6687
56F9	2013:3937
56FA	2013:1093
56FD	2013:1081
56FE	2013:1119
56FF	2013:4219
5703	2013:1906
5704	2013:4515
5706	2013:1922
5708	2013:2302
5709	2013:4837
570A	2013:4817
570C	2013:7368
5710	2013:7369
5719	2013:7677
571C	2013:6110
571F	2013:27
5722	2013:6510
5723	2013:340
5728	2013:388
5729	2013:3568
572A	2013:3572
572B	2013:6524
572C	2013:3569
572D	2013:3570
572E	2013:3576
572F	2013:3577
5730	2013:366
5732	2013:6523
5733	2013:3573
5739	2013:3574
573A	2013:367
573B	2013:3652
573E	2013:362
5740	2013:623
5742	2013:3653
5747	2013:640
5749	2013:6562
574A	2013:647
574B	2013:6565
574C	2013:3741
574D	2013:3654
574E	2013:639
574F	2013:616
5750	2013:797
5751	2013:645
5752	2013:6587
5757	2013:652
575A	2013:712
575B	2013:614
575C	2013:6561
575D	2013:629
575E	2013:3655
575F	2013:644
5760	2013:917
5761	2013:989
5764	2013:964
5765	2013:6651
5766	2013:962
5768	2013:3849
5769	2013:3836
576A	2013:960
576B	2013:3839
576C	2013:6653
576D	2013:3850
576F	2013:956
5770	2013:6652
5773	2013:3852
5777	2013:955
577B	2013:3847
577C	2013:3846
577D	2013:6654
5782	2013:1125
5783	2013:980
5784	2013:1055
5786	2013:3841
5788	2013:6694
578B	2013:1363
578C	2013:4102
578D	2013:6772
578E	2013:6775
578F	2013:6781
5792	2013:1751
5793	2013:4105
5795	2013:6859
5799	2013:6769
579A	2013:6767
579B	2013:1388
579E	2013:6778
579F	2013:6777
57A0	2013:4107
57A1	2013:4261
57A2	2013:1384
57A3	2013:4096
57A4	2013:4098
57A6	2013:1719
57A7	2013:4104
57A9	2013:4129
57AB	2013:1390
57AD	2013:4094
57AE	2013:1371
57AF	2013:6768
57B1	2013:4101
57B2	2013:6770
57B4	2013:6776
57B5	2013:6780
57B8	2013:4424
57BA	2013:6944
57BE	2013:6943
57BF	2013:6946
57C2	2013:1784
57C3	2013:1814
57C6	2013:6945
57C7	2013:6948
57CB	2013:1794
57CC	2013:6947
57CE	2013:1373
57CF	2013:6771
57D2	2013:4421
57D4	2013:4413
57D5	2013:4414
57D7	2013:6942
57D8	2013:4415
57D9	2013:4416
57DA	2013:4417
57DD	2013:4728
57DF	2013:2164
57E0	2013:2175
57E4	2013:4725
57EA	2013:7116
57EB	2013:7111
57ED	2013:4741
57EF	2013:4718
57F4	2013:4717
57F5	2013:4723
57F8	2013:4722
57F9	2013:2184
57FA	2013:2193
57FC	2013:7109
57FD	2013:4742
5802	2013:2256
5803	2013:7226
5806	2013:2173
5807	2013:4749
5809	2013:4736
580B	2013:4729
580C	2013:7112
580D	2013:4730
580E	2013:7107
5810	2013:7108
5811	2013:4808
5815	2013:2475
5819	2013:5064
581E	2013:5060
5820	2013:7297
5821	2013:2693
5824	2013:2519
5827	2013:7293
5828	2013:7295
582A	2013:2509
5830	2013:2512
5832	2013:7082
5835	2013:2161
583C	2013:7290
583D	2013:7478
583E	2013:7289
5844	2013:5068
5845	2013:7296
5846	2013:5074
584C	2013:2836
584D	2013:5522
5851	2013:3001
5854	2013:2510
5858	2013:2843
585D	2013:7481
585E	2013:3025
5865	2013:7477
586B	2013:2834
586C	2013:5350
5871	2013:7601
587E	2013:5779
5880	2013:5868
5881	2013:5632
5883	2013:3061
5885	2013:3102
5888	2013:7630
5889	2013:5639
5890	2013:7631
5892	2013:5640
5893	2013:2853
5895	2013:7629
5898	2013:7632
5899	2013:3054
589A	2013:7636
589E	2013:3204
589F	2013:3055
58A1	2013:7754
58A3	2013:7752
58A6	2013:7753
58A8	2013:3255
58A9	2013:3201
58BC	2013:6065
58C1	2013:3384
58C5	2013:6165
58D1	2013:6223
58D5	2013:6201
58E4	2013:3474
58EB	2013:28
58EC	2013:124
58EE	2013:510
58F0	2013:654
58F3	2013:650
58F6	2013:1812
58F8	2013:7117
58F9	2013:2537
5904	2013:294
5907	2013:1200
590D	2013:1553
590F	2013:1862
5910	2013:7709
5914	2013:6457
5915	2013:46
5916	2013:293
5919	2013:3614
591A	2013:507
591C	2013:1209
591F	2013:2362
5924	2013:5776
5925	2013:7669
5927	2013:32
5929	2013:78
592A	2013:93
592B	2013:79
592C	2013:3525
592D	2013:126
592E	2013:249
592F	2013:219
5931	2013:265
5934	2013:310
5937	2013:403
5938	2013:395
5939	2013:402
593A	2013:396
593C	2013:3587
5941	2013:3687
5942	2013:3744
5944	2013:3889
5947	2013:1050
5948	2013:1048
5949	2013:943
594B	2013:1051
594E	2013:4171
594F	2013:1354
5951	2013:1352
5953	2013:6813
5954	2013:1049
5955	2013:4306
5956	2013:1618
5957	2013:1869
5958	2013:4683
595A	2013:4587
5960	2013:2744
5961	2013:7338
5962	2013:2242
5965	2013:2701
596D	2013:5858
5973	2013:67
5974	2013:333
5976	2013:332
5978	2013:577
5979	2013:582
597D	2013:581
5981	2013:3642
5982	2013:578
5983	2013:580
5984	2013:526
5986	2013:512
5987	2013:579
5988	2013:583
598A	2013:3810
598D	2013:3806
5992	2013:923
5993	2013:918
5996	2013:920
5997	2013:3811
5998	2013:6636
5999	2013:919
599E	2013:3813
59A3	2013:3809
59A4	2013:3815
59A5	2013:799
59A7	2013:6635
59A8	2013:922
59A9	2013:3807
59AA	2013:3808
59AB	2013:3812
59AD	2013:6742
59AE	2013:1328
59AF	2013:4065
59B2	2013:4064
59B9	2013:1324
59BB	2013:1056
59BE	2013:4001
59C6	2013:1330
59C8	2013:6743
59CA	2013:921
59CB	2013:1329
59D0	2013:1326
59D1	2013:1325
59D2	2013:3814
59D3	2013:1327
59D4	2013:1133
59D7	2013:4066
59D8	2013:4387
59DA	2013:1740
59DC	2013:1643
59DD	2013:4385
59DE	2013:6911
59E3	2013:4386
59E4	2013:6913
59E5	2013:1736
59E8	2013:1737
59EC	2013:4687
59EE	2013:4383
59F1	2013:6912
59F6	2013:6914
59F9	2013:4388
59FB	2013:1738
59FD	2013:6915
59FF	2013:1630
5A00	2013:6910
5A01	2013:1444
5A03	2013:1735
5A04	2013:1649
5A05	2013:4382
5A06	2013:4384
5A07	2013:1739
5A08	2013:4304
5A09	2013:4690
5A0C	2013:4689
5A11	2013:4648
5A13	2013:4695
5A18	2013:2144
5A1C	2013:1741
5A1F	2013:2141
5A20	2013:4688
5A23	2013:4694
5A25	2013:2143
5A29	2013:4692
5A31	2013:2140
5A32	2013:4691
5A34	2013:4693
5A35	2013:7263
5A36	2013:2197
5A3C	2013:5019
