2F954	U+2569A
2F955	U+256C5
2F956	U+798F
2F957	U+79EB
2F958	U+412F
2F959	U+7A40
2F95A	U+7A4A
2F95B	U+7A4F
2F95C	U+2597C
2F95D..2F95E	U+25AA7
2F95F	U+7AEE
2F960	U+4202
2F961	U+25BAB
2F962	U+7BC6
2F963	U+7BC9
2F964	U+4227
2F965	U+25C80
2F966	U+7CD2
2F967	U+42A0
2F968	U+7CE8
2F969	U+7CE3
2F96A	U+7D00
2F96B	U+25F86
2F96C	U+7D63
2F96D	U+4301
2F96E	U+7DC7
2F96F	U+7E02
2F970	U+7E45
2F971	U+4334
2F972	U+26228
2F973	U+26247
2F974	U+4359
2F975	U+262D9
2F976	U+7F7A
2F977	U+2633E
2F978	U+7F95
2F979	U+7FFA
2F97A	U+8005
2F97B	U+264DA
2F97C	U+26523
2F97D	U+8060
2F97E	U+265A8
2F97F	U+8070
2F980	U+2335F
2F981	U+43D5
2F982	U+80B2
2F983	U+8103
2F984	U+440B
2F985	U+813E
2F986	U+5AB5
2F987	U+267A7
2F988	U+267B5
2F989	U+23393
2F98A	U+2339C
2F98B	U+8201
2F98C	U+8204
2F98D	U+8F9E
2F98E	U+446B
2F98F	U+8291
2F990	U+828B
2F991	U+829D
2F992	U+52B3
2F993	U+82B1
2F994	U+82B3
2F995	U+82BD
2F996	U+82E6
2F997	U+26B3C
2F998	U+82E5
2F999	U+831D
2F99A	U+8363
2F99B	U+83AD
2F99C	U+8323
2F99D	U+83BD
2F99E	U+83E7
2F99F	U+8457
2F9A0	U+8353
2F9A1	U+83CA
2F9A2	U+83CC
2F9A3	U+83DC
2F9A4	U+26C36
2F9A5	U+26D6B
2F9A6	U+26CD5
2F9A7	U+452B
2F9A8	U+84F1
2F9A9	U+84F3
2F9AA	U+8516
2F9AB	U+273CA
2F9AC	U+8564
2F9AD	U+26F2C
2F9AE	U+455D
2F9AF	U+4561
2F9B0	U+26FB1
2F9B1	U+270D2
2F9B2	U+456B
2F9B3	U+8650
2F9B4	U+865C
2F9B5	U+8667
2F9B6	U+8669
2F9B7	U+86A9
2F9B8	U+8688
2F9B9	U+870E
2F9BA	U+86E2
2F9BB	U+8779
2F9BC	U+8728
2F9BD	U+876B
2F9BE	U+8786
2F9BF	U+45D7
2F9C0	U+87E1
2F9C1	U+8801
2F9C2	U+45F9
2F9C3	U+8860
2F9C4	U+8863
2F9C5	U+27667
2F9C6	U+88D7
2F9C7	U+88DE
2F9C8	U+4635
2F9C9	U+88FA
2F9CA	U+34BB
2F9CB	U+278AE
2F9CC	U+27966
2F9CD	U+46BE
2F9CE	U+46C7
2F9CF	U+8AA0
2F9D0	U+8AED
