20E4C	030/10;RIBP;lan2,lang1,lang3,nang3
20E6D	030/10;RMRR;ko1
20E73	030/10;RNQD;git6
20E77	030/10;RVHI;[ng]o4
20E78	030/10;ROIV;kam2
20E79	030/10;ROOB;lan4
20E7A	030/10;RGWG;maai4
20E7B	030/10;RBTK;zam6
20E8C	030/10;RHI;gwe1
20E98	030/10;REIV;long1,long2
20E9D	030/10;RDHR;gaak3
20EA2	030/10;RJMO;gaa1,gaa2
20EAA	030/10;ROND;he3,hi1
20EAB	030/10;RFDJ;leu1
20EAC	030/10;RGOU;he2
20ED7	030/11;RYUB;le4
20ED8	030/11;RFOG;zoet6
20EF4	030/10;;long2
20EFA	030/11;RQMM;aa6
20EFB	030/11;RANH;bai3
20F15	030/11;;paai2
20F17	030/11;;zaam2
20F2D	030/11;ROUM;but1
20F2E	030/11;ROIF;[ng]ai1
20F30	030/11;RDMK;kang3
20F31	030/11;RWVF;loe1,loe2
20F3B	030/11;RTCG;gi1,ki1
20F43	030/11;;zap1
20F4C	030/11;RMBM;syut1
20F52	030/11;;neng2
20F64	030/12;RJJI;kik1
20F8D	030/12;RYID;he3
20F8F	030/12;;ce1
20FAD	030/12;RTHV;we5
20FB4	030/12;RDQQ;baang4,baang6
20FB5	030/12;RQDM;zaa1,zaa2,zaa5
20FB6	030/12;RAYF;ging2
20FBC	030/12;RVFU;cyut1/2/4/6
20FEA	030/13;RMWC;gaa2
20FEB	030/13;RHFB;saau4
20FEC	030/13;ROHE;soe4
20FED	030/13;REBB;wet1
2101D	030/13;RHDP;nam6
2101E	030/13;RDRJ;jaap3,zip1
21029	030/13;;lok1
2104F	030/14;RTBO;[ng]am1
2105C	030/13;RIFB;wo5
2106F	030/14;RKOI;dyut1
21075	030/14;RSEF;gan2
21076	030/14;RJIG;zit1
21077	030/14;RMOI;doeng1
21078	030/14;RNLF;kwaak1
2107B	030/14;RGOB;ziu6
21088	030/14;ROTO;buk6
21096	030/15;RMTB;lai2
2109D	030/15;RGWC;zuk6
210C0	030/12;RYOE;[ng]e4
210C1	030/15;RQBU;leng1
210C7	030/15;RFKT;bai6
210C8	030/15;RVFJ;kwaak3,kwaak3/1
210C9	030/15;RKRF;gaa3
210CF	030/15;RNBG;doe6
210D3	030/15;RQHW;bo3
210E4	030/16;RDLC;laai6,lai4
210F4	030/16;RNLB;ceoi4
210F5	030/16;RQYG;[ng]ung1,[ng]ung2
210F6	030/16;RCAH;sek3
2111F	030/17;;haa1
2112F	030/17;RBYP;jik1
21135	030/19;;ji1
2113D	030/18;REJF;soe4
21148	030/18;RCYQ;laa3
2114F	030/17;RIFT;lai2
21180	030/21;RJJJ;gwang2
21187	030/22;RCTE;wok1
211D9	031/06;WHND;doe4
21681	037/11;;bai6
216A6	038/01;;hai1
21731	038/07;;gei2
2197C	039/09;NDNBC;me1
21C2A	044/03;SR;duk1
21CA2	044/09;STKR;ke1
21CAC	044/10;SYYU;gwat6
220C7	050/07;LBWG;lei5
221A1	039/11;BUOQ;nin1
22208	053/06;IOMR;nap1
22605	110/04;;maau4
22696	061/07;CHP;ti4
226F4	061/08;PNDT;mang2
226F5	061/08;PBSD;zang2
22775	183/04;NOP;fit1
227B5	183/05;NOPH;fit1
