#Unicode code point	English annotation
U+01F600	grin, grinning, grinning face, smiley, face, laugh, lol, funny
U+01F601	grin, smiling eyes, grinning, smile, smiley, smiling, grinning face with smiling eyes, face, laugh, lol, funny
U+01F602	tears of joy, joy, tears, face with tears of joy, face
U+01F603	open mouth smile, smiling, smiley, smiling face with mouth open, face, laugh, lol, funny
U+01F604	open mouth smile, smile, smiley, open mouth, smiling eyes, laugh, lol, funny
U+01F605	cold sweat smile, smile but with cold sweat, cold sweat
U+01F606	open mouth smile, smile with open mouth, smiling face with mouth open, open mouth, face
U+01F607	smile with a halo, smile, halo, face
U+01F608	smile with horns, smile, horns, face
U+01F609	winking face, wink, face
U+01F60A	smile, smiling eyes, smiling face and eyes, smiling face, smiling eyes, face
U+01F60B	yummy face, yummy, um um good, smile face, delicious food, face
U+01F60C	relieved face, relieved, face
U+01F60D	smiling face, heart eyes, love, adoring, heart, eyes, face
U+01F60E	cool, joe cool, jane cool, smiling with sunglasses, smiling, sunglasses, face
U+01F60F	smirk, smirking face. smirking, face
U+01F610	deadpan face, neutral face, deadpan, neutral, face, no comment
U+01F611	expressionless, inexpressive face, face, no comment
U+01F612	unamused, unamused face, unhappy, face
U+01F613	cold sweat, face with cold sweat, face
U+01F614	pensive face, dejected, pensive, face
U+01F615	confused face, confused, face
U+01F616	confounded face, confounded, face
U+01F617	kissy face, kissing face, kiss, face
U+01F618	throwing kisses, face throwing kisses, face
U+01F619	kiss and smile, kissing face with a smile, face, smile, smiling eyes
U+01F61A	kissing, kissing with eyes closed, closed eyes, face
U+01F61B	tongue out, tongue stuck out, face with a sticking tongue, face
U+01F61C	tongue out, just teasing, tongue stuck out with a wink, wink, joke, face
U+01F61D	yuck, tongue stuck out with closed eyes, horrible, tongue stuck out, closed eyes, face
U+01F61E	disappointed, disappointment, disappointed face, face
U+01F61F	worried, worried face, face
U+01F620	angry, mad, angry face, face
U+01F621	pouting, angry, mad, red pouting face, red face, face
U+01F622	crying, crying face, sad, tears, face
