64E7	8EE6
64EA	8AA4
650A	8943
6511	93F3
651E	FCAB
651F	9EA2
6530	9DC7
6534	C6D2
6535	8BCE
654D	FCC5
655F	FCCB
656B	93B3
656D	FCCA
6585	FCC9
6586	8DAC
6588	FBC6
6589	8967
658B	8C7E
65B5	FCCD
65BE	9CF3
65D1	FCD0
65D4	95BB
65E0	FCD3
65E3	FCD4
65FF	8DAE
6618	FCD7
661E	93DB
6623	FE63
6630	93D5
6644	FCDA
6648	9B71
664B	FCDD
664D	8764
6653	8DAF
6657	FAF2
6660	87B5
6663	93D8
6667	FCDF
666B	93D3
6673	FCE1
667D	8E76
6685	FC62
668E	93D1
6692	8DB1
669A	9859
66A4	FB52
66AD	FB53
66B3	FB4D
66B6	9CBF
66BF	9B72
66CD	FB50
66CE	93BE
66E7	8CDB
66F1	9DF1
6702	FCEB
670C	A0BB
670E	9B7E
6716	8DB3
6719	8C52
671E	9AE8
6725	8EDC
6736	9CF9
6744	FA50
6761	98E7
6762	FCF3
6767	FCF2
676B	8CCA
676E	8775
6782	87BA
678F	93E5
67A0	9A59
67A4	8DB5
67AC	FD4D
67B1	FD5E
67BF	8F7D
67D6	9547
67D7	FCF6
67F9	9250
67FE	8968
6800	8DB6
6801	FCFB
6802	A07D
6803	98FC
6804	8969
680D	FE4F
6810	9256
681B	FAC9
681E	93E8
6822	FCF8
6836	9CE3
6837	FDA9
683E	FC44
6847	9640
684A	8DB8
6855	9B4A
6856	8FB9
685D	FCFE
6865	896A
6884	8DB9
6888	917E
6898	93F4
68A6	FB7C
68B6	93E7
68B9	97EF
68BD	FE4A
68C3	FD45
68C5	96A5
68CA	FEE0
6900	FD48
6901	FD47
6902	FEF2
6903	FE6A
6909	8DBD
6918	9BA1
6919	8CA2
691A	9AB7
691B	8EFC
692C	9FA1
6936	FD51
693E	FAAD
6943	8DBE
6946	89A4
6955	9AD9
6961	FD4E
6964	8DC0
6967	97F0
6972	93B4
6973	FD44
6980	9FA7
6985	8DC2
698A	99B6
6998	FD52
699F	8DC1
69A2	8E46
69B2	A0D1
69C0	9FCA
69D1	92CF
69D5	9CF4
69D6	8DC4
