# Source File for IDN Confusables
# File: formatted-arabic.txt
# Version: 3.0-draft
# Generated: 2012-05-07, 05:21:19 GMT
# Checkin: $Revision: 1.32 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
002A ;	066D	#* ( * ~ ‎٭‎ ) ASTERISK ~ ARABIC FIVE POINTED STAR
06A1 08EE 08ED ;	06A5	# ( ‎ڡ࣮࣭‎ ~ ‎ڥ‎ ) ARABIC LETTER DOTLESS FEH, ARABIC TONE TWO DOTS BELOW, ARABIC TONE ONE DOT BELOW ~ ARABIC LETTER FEH WITH THREE DOTS BELOW

06A2 06DB ;	08A4	# ( ‎ڢۛ‎ ~ ‎ࢤ‎ ) ARABIC LETTER FEH WITH DOT MOVED BELOW, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER FEH WITH DOT BELOW AND THREE DOTS ABOVE

06A2 08EE ;	0761	# ( ‎ڢ࣮‎ ~ ‎ݡ‎ ) ARABIC LETTER FEH WITH DOT MOVED BELOW, ARABIC TONE TWO DOTS BELOW ~ ARABIC LETTER FEH WITH THREE DOTS POINTING UPWARDS BELOW

06A4 ;	06A8	# ( ‎ڤ‎ ~ ‎ڨ‎ ) ARABIC LETTER VEH ~ ARABIC LETTER QAF WITH THREE DOTS ABOVE

06A4 065C ;	08A4	# ( ‎ڤٜ‎ ~ ‎ࢤ‎ ) ARABIC LETTER VEH, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER FEH WITH DOT BELOW AND THREE DOTS ABOVE

06A9 ;	06AA	# ( ‎ک‎ ~ ‎ڪ‎ ) ARABIC LETTER KEHEH ~ ARABIC LETTER SWASH KAF

06A9 064E ;	06AF	# ( ‎کَ‎ ~ ‎گ‎ ) ARABIC LETTER KEHEH, ARABIC FATHA ~ ARABIC LETTER GAF

06A9 06DB ;	0763	# ( ‎کۛ‎ ~ ‎ݣ‎ ) ARABIC LETTER KEHEH, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER KEHEH WITH THREE DOTS ABOVE

06A9 06EA ;	06AB	# ( ‎ک۪‎ ~ ‎ګ‎ ) ARABIC LETTER KEHEH, ARABIC EMPTY CENTRE LOW STOP ~ ARABIC LETTER KAF WITH RING

06A9 06EC ;	0762	# ( ‎ک۬‎ ~ ‎ݢ‎ ) ARABIC LETTER KEHEH, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER KEHEH WITH DOT ABOVE

06A9 08EB ;	063B	# ( ‎ک࣫‎ ~ ‎ػ‎ ) ARABIC LETTER KEHEH, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER KEHEH WITH TWO DOTS ABOVE

06A9 08ED 08EE ;	0764	# ( ‎ک࣭࣮‎ ~ ‎ݤ‎ ) ARABIC LETTER KEHEH, ARABIC TONE ONE DOT BELOW, ARABIC TONE TWO DOTS BELOW ~ ARABIC LETTER KEHEH WITH THREE DOTS POINTING UPWARDS BELOW

06A9 08EE 08ED ;	063C	# ( ‎ک࣮࣭‎ ~ ‎ؼ‎ ) ARABIC LETTER KEHEH, ARABIC TONE TWO DOTS BELOW, ARABIC TONE ONE DOT BELOW ~ ARABIC LETTER KEHEH WITH THREE DOTS BELOW

06AB 064E ;	06B0	# ( ‎ګَ‎ ~ ‎ڰ‎ ) ARABIC LETTER KAF WITH RING, ARABIC FATHA ~ ARABIC LETTER GAF WITH RING

06AC ;	0762	# ( ‎ڬ‎ ~ ‎ݢ‎ ) ARABIC LETTER KAF WITH DOT ABOVE ~ ARABIC LETTER KEHEH WITH DOT ABOVE

06AD ;	0763	# ( ‎ڭ‎ ~ ‎ݣ‎ ) ARABIC LETTER NG ~ ARABIC LETTER KEHEH WITH THREE DOTS ABOVE

06AF 065C 065C ;	06B3	# ( ‎گٜٜ‎ ~ ‎ڳ‎ ) ARABIC LETTER GAF, ARABIC VOWEL SIGN DOT BELOW, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER GUEH

06AF 06DB ;	06B4	# ( ‎گۛ‎ ~ ‎ڴ‎ ) ARABIC LETTER GAF, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER GAF WITH THREE DOTS ABOVE

06AF 08EB ;	06B1	# ( ‎گ࣫‎ ~ ‎ڱ‎ ) ARABIC LETTER GAF, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER NGOEH

06AF 08EE ;	06B2	# ( ‎گ࣮‎ ~ ‎ڲ‎ ) ARABIC LETTER GAF, ARABIC TONE TWO DOTS BELOW ~ ARABIC LETTER GAF WITH TWO DOTS BELOW

06BA ;	066E	# ( ‎ں‎ ~ ‎ٮ‎ ) ARABIC LETTER NOON GHUNNA ~ ARABIC LETTER DOTLESS BEH

06BA 0615 ;	0679	# ( ‎ںؕ‎ ~ ‎ٹ‎ ) ARABIC LETTER NOON GHUNNA, ARABIC SMALL HIGH TAH ~ ARABIC LETTER TTEH
06BA 0615 ;	06BB	# ( ‎ںؕ‎ ~ ‎ڻ‎ ) ARABIC LETTER NOON GHUNNA, ARABIC SMALL HIGH TAH ~ ARABIC LETTER RNOON

06BA 06DB ;	06BD	# ( ‎ںۛ‎ ~ ‎ڽ‎ ) ARABIC LETTER NOON GHUNNA, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER NOON WITH THREE DOTS ABOVE

06BA 06EC ;	0646	# ( ‎ں۬‎ ~ ‎ن‎ ) ARABIC LETTER NOON GHUNNA, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER NOON

06BD ;	06D1	# ( ‎ڽ‎ ~ ‎ۑ‎ ) ARABIC LETTER NOON WITH THREE DOTS ABOVE ~ ARABIC LETTER YEH WITH THREE DOTS BELOW

06BE 065B ;	06FF	# ( ‎ھٛ‎ ~ ‎ۿ‎ ) ARABIC LETTER HEH DOACHASHMEE, ARABIC VOWEL SIGN INVERTED SMALL V ABOVE ~ ARABIC LETTER HEH WITH INVERTED V

06C1 08EB ;	06C3	# ( ‎ہ࣫‎ ~ ‎ۃ‎ ) ARABIC LETTER HEH GOAL, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER TEH MARBUTA GOAL

06CC ;	06CD	# ( ‎ی‎ ~ ‎ۍ‎ ) ARABIC LETTER FARSI YEH ~ ARABIC LETTER YEH WITH TAIL
06CC ;	06D2	# ( ‎ی‎ ~ ‎ے‎ ) ARABIC LETTER FARSI YEH ~ ARABIC LETTER YEH BARREE

06CC 065B ;	063D	# ( ‎یٛ‎ ~ ‎ؽ‎ ) ARABIC LETTER FARSI YEH, ARABIC VOWEL SIGN INVERTED SMALL V ABOVE ~ ARABIC LETTER FARSI YEH WITH INVERTED V

06CC 06DB ;	063F	# ( ‎یۛ‎ ~ ‎ؿ‎ ) ARABIC LETTER FARSI YEH, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER FARSI YEH WITH THREE DOTS ABOVE

06CC 08EB ;	063E	# ( ‎ی࣫‎ ~ ‎ؾ‎ ) ARABIC LETTER FARSI YEH, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER FARSI YEH WITH TWO DOTS ABOVE

06CE ;	0756	# ( ‎ێ‎ ~ ‎ݖ‎ ) ARABIC LETTER YEH WITH SMALL V ~ ARABIC LETTER BEH WITH SMALL V

06D8 ;	06E2	# ( ۘ ~ ۢ ) ARABIC SMALL HIGH MEEM INITIAL FORM ~ ARABIC SMALL HIGH MEEM ISOLATED FORM

06EC ;	08EA	# ( ۬ ~ ࣪ ) ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC TONE ONE DOT ABOVE

06F1 ;	0780	# ( ۱ ~ ‎ހ‎ ) EXTENDED ARABIC-INDIC DIGIT ONE ~ THAANA LETTER HAA

06F2 ;	0781	# ( ۲ ~ ‎ށ‎ ) EXTENDED ARABIC-INDIC DIGIT TWO ~ THAANA LETTER SHAVIYANI

06F3 ;	0782	# ( ۳ ~ ‎ނ‎ ) EXTENDED ARABIC-INDIC DIGIT THREE ~ THAANA LETTER NOONU

06F4 ;	0783	# ( ۴ ~ ‎ރ‎ ) EXTENDED ARABIC-INDIC DIGIT FOUR ~ THAANA LETTER RAA

06F5 ;	0784	# ( ۵ ~ ‎ބ‎ ) EXTENDED ARABIC-INDIC DIGIT FIVE ~ THAANA LETTER BAA

06F6 ;	0785	# ( ۶ ~ ‎ޅ‎ ) EXTENDED ARABIC-INDIC DIGIT SIX ~ THAANA LETTER LHAVIYANI

06F7 ;	0786	# ( ۷ ~ ‎ކ‎ ) EXTENDED ARABIC-INDIC DIGIT SEVEN ~ THAANA LETTER KAAFU

06F8 ;	0787	# ( ۸ ~ ‎އ‎ ) EXTENDED ARABIC-INDIC DIGIT EIGHT ~ THAANA LETTER ALIFU

06F9 ;	0788	# ( ۹ ~ ‎ވ‎ ) EXTENDED ARABIC-INDIC DIGIT NINE ~ THAANA LETTER VAAVU

0754 ;	0767	# ( ‎ݔ‎ ~ ‎ݧ‎ ) ARABIC LETTER BEH WITH TWO DOTS BELOW AND DOT ABOVE ~ ARABIC LETTER NOON WITH TWO DOTS BELOW
0754 ;	08A9	# ( ‎ݔ‎ ~ ‎ࢩ‎ ) ARABIC LETTER BEH WITH TWO DOTS BELOW AND DOT ABOVE ~ ARABIC LETTER YEH WITH TWO DOTS BELOW AND DOT ABOVE

0775 ;	077A	# ( ‎ݵ‎ ~ ‎ݺ‎ ) ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE ~ ARABIC LETTER YEH BARREE WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE

0776 ;	077B	# ( ‎ݶ‎ ~ ‎ݻ‎ ) ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE ~ ARABIC LETTER YEH BARREE WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE

07AB ;	08FB	# ( ޫ ~ ࣻ ) THAANA OOBOOFILI ~ ARABIC DOUBLE RIGHT ARROWHEAD ABOVE

07AC ;	08F7	# ( ެ ~ ࣷ ) THAANA EBEFILI ~ ARABIC LEFT ARROWHEAD ABOVE

08E9 ;	1DFD	# ( ࣩ ~ ᷽ ) ARABIC CURLY KASRATAN ~ COMBINING ALMOST EQUAL TO BELOW

08EA 08F5 ;	065E	# ( ࣪ࣵ ~ ٞ ) ARABIC TONE ONE DOT ABOVE, ARABIC FATHA WITH DOT ABOVE ~ ARABIC FATHA WITH TWO DOTS

08EB 08EA ;	06DB	# ( ࣫࣪ ~ ۛ ) ARABIC TONE TWO DOTS ABOVE, ARABIC TONE ONE DOT ABOVE ~ ARABIC SMALL HIGH THREE DOTS

08F7 ;	1DFE	# ( ࣷ ~ ᷾ ) ARABIC LEFT ARROWHEAD ABOVE ~ COMBINING LEFT ARROWHEAD ABOVE

08F8 08EA ;	08FD	# ( ࣸ࣪ ~ ࣽ ) ARABIC RIGHT ARROWHEAD ABOVE, ARABIC TONE ONE DOT ABOVE ~ ARABIC RIGHT ARROWHEAD ABOVE WITH DOT

1EE8F ;	060F	# ( ‎𞺏‎ ~ ؏ ) ARABIC MATHEMATICAL LOOPED AIN ~ ARABIC SIGN MISRA

