U+131CD	;	𓇍	;	combination of {reed} and {legs walking}
U+131CE	;	𓇎	;	heaped conical cakes between {reed} and {club}
U+131CF	;	𓇏	;	field of reeds
U+131D0	;	𓇐	;	reeds with root
U+131D1	;	𓇑	;	rush
U+131D2	;	𓇒	;	two rushes
U+131D3	;	𓇓	;	sedge
U+131D4	;	𓇔	;	combination of {sedge} and {mouth}
U+131D5	;	𓇕	;	lily
U+131D6	;	𓇖	;	combination of {flowering sedge} and {mouth}
U+131D7	;	𓇗	;	flowering sedge
U+131D8	;	𓇘	;	combination of {flowering sedge} and {forearm}
U+131D9	;	𓇙	;	combination of {flowering sedge} and {hobble}
U+131DA	;	𓇚	;	three lilies on {village}
U+131DB	;	𓇛	;	pod
U+131DC	;	𓇜	;	root
U+131DD	;	𓇝	;	rhizome
U+131DE	;	𓇞	;	{tree} in vase
U+131DF	;	𓇟	;	rhizome 2
U+131E0	;	𓇠	;	3 grains horizontally
U+131E1	;	𓇡	;	3 grains vertically
U+131E2	;	𓇢	;	3 grains in triangular arrangement
U+131E3	;	𓇣	;	ear of emmer
U+131E4	;	𓇤	;	heap of grain
U+131E5	;	𓇥	;	bundle of flax showing bolls
U+131E6	;	𓇦	;	bundle of flax
U+131E7	;	𓇧	;	wide bundle of flax
U+131E8	;	𓇨	;	basket of fruit or grain
U+131E9	;	𓇩	;	bundle of reeds
U+131EA	;	𓇪	;	bundle of reeds 2
U+131EB	;	𓇫	;	piece of wood
U+131EC	;	𓇬	;	flower
U+131ED	;	𓇭	;	vine on trellis
U+131EE	;	𓇮	;	thorn
U+131EF	;	𓇯	;	sky
U+131F0	;	𓇰	;	sky with sceptre
U+131F1	;	𓇱	;	sky with sceptre 2
U+131F2	;	𓇲	;	sky with rain
U+131F3	;	𓇳	;	sun
U+131F4	;	𓇴	;	sun with uraeus
U+131F5	;	𓇵	;	combination of {sun} and {butcher's block}
U+131F6	;	𓇶	;	sunshine
U+131F7	;	𓇷	;	moon with lower half obscured
U+131F8	;	𓇸	;	moon with lower section obscured
U+131F9	;	𓇹	;	crescent moon
U+131FA	;	𓇺	;	crescent moon 2
U+131FB	;	𓇻	;	combination of {crescent moon} and {star}
U+131FC	;	𓇼	;	star
U+131FD	;	𓇽	;	star in circle
U+131FE	;	𓇾	;	land with grains
U+131FF	;	𓇿	;	land
U+13200	;	𓈀	;	sandy tract
U+13201	;	𓈁	;	combination of {sandy tract} and {ripple of water}
U+13202	;	𓈂	;	combination of {roll of bread} and {bolt}
U+13203	;	𓈃	;	two sandy tracts
U+13204	;	𓈄	;	tongue of land
U+13205	;	𓈅	;	short tongue of land
U+13206	;	𓈆	;	broad tongue of land
U+13207	;	𓈇	;	irrigation canal
U+13208	;	𓈈	;	irrigation canal system
U+13209	;	𓈉	;	three hills
U+1320A	;	𓈊	;	three hills (low)
U+1320B	;	𓈋	;	two hills
U+1320C	;	𓈌	;	sun over mountain
U+1320D	;	𓈍	;	rays of sun over hill
U+1320E	;	𓈎	;	slope of hill
U+1320F	;	𓈏	;	mound of earth
U+13210	;	𓈐	;	road with shrubs
U+13211	;	𓈑	;	lump of clay
U+13212	;	𓈒	;	grain
U+13213	;	𓈓	;	three grains
U+13214	;	𓈔	;	ingot of metal
U+13215	;	𓈕	;	ingot of metal 2
U+13216	;	𓈖	;	ripple of water
U+13217	;	𓈗	;	three ripples of water
U+13218	;	𓈘	;	canal
U+13219	;	𓈙	;	pool
U+1321A	;	𓈚	;	pool 2
U+1321B	;	𓈛	;	deep pool
U+1321C	;	𓈜	;	pool with water
U+1321D	;	𓈝	;	combination of {pool} and {legs walking}
U+1321E	;	𓈞	;	well with ripple of water
U+1321F	;	𓈟	;	well with line of water
U+13220	;	𓈠	;	sign of first nome of Lower Egypt
U+13221	;	𓈡	;	sign of second nome of Lower Egypt
U+13222	;	𓈢	;	sign of third nome of Lower Egypt
U+13223	;	𓈣	;	sign of fourth nome of Lower Egypt
U+13224	;	𓈤	;	sign of fifth nome of Lower Egypt
U+13225	;	𓈥	;	sign of fifth nome of Lower Egypt 2
U+13226	;	𓈦	;	sign of sixth nome of Lower Egypt
U+13227	;	𓈧	;	sign of seventh nome of Lower Egypt
U+13228	;	𓈨	;	sign of eighth nome of Lower Egypt
U+13229	;	𓈩	;	sign of ninth nome of Lower Egypt
U+1322A	;	𓈪	;	sign of tenth nome of Lower Egypt
U+1322B	;	𓈫	;	sign of eleventh nome of Lower Egypt
U+1322C	;	𓈬	;	sign of twelfth nome of Lower Egypt
U+1322D	;	𓈭	;	sign of thirteenth nome of Lower Egypt
U+1322E	;	𓈮	;	sign of fourteenth nome of Lower Egypt
U+1322F	;	𓈯	;	sign of fifteenth nome of Lower Egypt
U+13230	;	𓈰	;	sign of sixteenth nome of Lower Egypt
U+13231	;	𓈱	;	sign of seventeenth nome of Lower Egypt
U+13232	;	𓈲	;	sign of seventeenth nome of Lower Egypt 2
U+13233	;	𓈳	;	sign of eighteenth nome of Lower Egypt
U+13234	;	𓈴	;	sign of nineteenth nome of Lower Egypt
U+13235	;	𓈵	;	sign of twentieth nome of Lower Egypt
U+13236	;	𓈶	;	sign of first nome of Upper Egypt
U+13237	;	𓈷	;	sign of second nome of Upper Egypt
U+13238	;	𓈸	;	sign of third nome of Upper Egypt
U+13239	;	𓈹	;	sign of fourth nome of Upper Egypt
U+1323A	;	𓈺	;	sign of fifth nome of Upper Egypt
U+1323B	;	𓈻	;	sign of sixth nome of Upper Egypt
U+1323C	;	𓈼	;	sign of seventh nome of Upper Egypt
U+1323D	;	𓈽	;	sign of eighth nome of Upper Egypt
U+1323E	;	𓈾	;	sign of ninth nome of Upper Egypt
